组图：衬衣新法则 加长款更加时髦
　　导语：不知你有没有发现，这一季的衬衣在尺寸上已经有了改头换面的新变化，以加长了的全新姿态呈现在我们面前。这些加长了的衬衣不但更加时髦，且多变的搭配方法也令其成为人们心中最无法忽略的那件心头好。无论是宽松随意的Boyfriend款式、度假风的Tunic款式，还是可以当做裙装的超长款式，都令我们在这个春天增添了许多着装新选择。
　　最实用的 长衬衣+牛仔
　　摩登指数 ★★★
　　搭配心经 毫无疑问，衬衣与牛仔的搭配方式一向都是最实用的选择。深蓝色的水洗面料长衬衣营造出不经意的随性味道，与浅蓝色的牛仔裤搭配更加突出了复古的时尚潮流。
　　编辑说话 千万别忽视类似裤腿翻边这样的搭配小细节，一点点的小变化就会令你的整体造型看上去更加对味。
　　最时髦的 裸色系运用
　　摩登指数 ★★★★★
　　搭配心经 柔美的裸色衬衣在针织外套的搭配下，显露出更加摩登的全新面貌。高腰短裤的加入令整体效果更加具有层次感。
　　编辑说话 毫无疑问，裸色一定是这个春夏最不能错过的摩登流行色。只不过对于大多数亚洲女性来说，如何穿出好脸色才是最值得关注的。所以，可以尝试选择一些不同质地的外套来增加层次感，不会令裸色大面积地单一出现。
　　最有型的 衬衣+Legging
　　摩登指数 ★★★
　　搭配心经 灰色的长款衬衣直接搭配黑色Legging穿着，再配合仿皮质的灰色外套，即可营造出硬朗不羁的摩登风范。
　　编辑说话 长衬衣的穿着在这一季多种多样，直接搭配Legging的穿着方式可谓最具代表性，也非常实用。
　　最俏皮的 衬衣套穿搭配
　　摩登指数 ★★★★
　　搭配心经 条纹图案的长款衬衣在视觉上多少会给人严肃的感觉，不如选择一件色系相同的短袖牛仔衬衣套穿在其外面，无论是搭配感还是层次感都会大大提升。
　　编辑说话 内外两件的衬衫套穿法在这一季层出不穷，当然，还是要选择同色系的两件衬衫套穿为好。尤其是穿带翻领的款式，可以更加突出你在着装上的巧妙小心思。
　　最帅气的 衬衫连身裤
　　摩登指数 ★★★★
　　搭配心经 看来连身裤风潮在今年依然会大热不减，一件宽大Boyfriend衬衣的加入令搭配实用了不少，即刻改变了人们对于连身裤一向好看不好穿的看法。
　　编辑说话 中性化的男式衬衣也在这一季有大放异彩之势，对于以清凉为主的春夏着装来说，宽大的Boyfriend款式的确能够带给人们更多的新鲜感，只不过，切忌穿得邋遢才是最关键的。
　　最淑媛感的 长衬衣裙装
　　摩登指数 ★★★★★
　　搭配心经 Tunic款式的白色雪纺长衬衣，可以直接拿来当裙装使用，带来清新舒适的度假风格。而外面套穿的蓝色衬衣更是成为点睛之笔，令原本中规中矩的搭配加分不少。
　　编辑说话 雪纺材质一向都是春夏季节的宠儿，只不过要穿得出位还是颇要下一番心思的。选择适合的长度，直接当连衣裙穿着，想必出其不意的效果定会令你惊喜不已！
　　最干练的 无袖白衬衣
　　摩登指数 ★★★★
　　搭配心经 干练的长款白衬衣总是人见人爱的必备单品，无袖的修身款式带来独特的时髦感觉，与灰色条纹短裤的搭配，更显干练优雅。
　　编辑说话 腰带的运用在长衬衣的穿着中绝对必不可少，在你感觉单调或没有层次感的时候，腰带都是帮你打造完整形象的好帮手。

