详解雅思流程图中所使用的被动词汇
　　雅思小作文中流程图里可能用到的被动语态的动词：
　　Be sent to                   被送到
　　Be transported to            被运送到
　　Be delivered to              被输送到
　　Be transferred to            被转移至
　　Be heated on/in              在…上被加热
　　Be extracted from            从…萃取
　　Be refined from              从…。提炼
　　Be degraded to/from          降级为…
　　Be evaporated                被蒸发
　　Be incinerated               被焚烧为
　　Be broken down               被分解为
　　Be oxidated                  被氧化为
　　Be deforested                被荒漠化
　　Be released to               被释放到
　　Be burned by                 被燃烧
　　Be mixed with                和…混合
　　Be moulded as                被塑造成为
　　Be processed                 被加工成
　　Be disposed of               被处理
　　Be promoted                  被提升为
　　Be manufactured              被制作/制造
　　Be generated                 被产生/制造
　　Be grilled                   被烧烤
　　Be smoked                    被烟熏
　　Be exposed                   被暴露
　　Be restored                  被恢复
    更多信息请访问：新浪雅思频道 雅思论坛 雅思博客圈
　　特别说明：由于各方面情况的不断调整与变化，新浪网所提供的所有考试信息仅供参考，敬请考生以权威部门公布的正式信息为准。

