09年浙江普通高考理科第一批分数分段统计表
　　│分数│ 小计／累计 │
　　│768 │   1／     1│
　　│752 │   1／     2│
　　│750 │   1／     3│
　　│748 │   1／     4│
　　│746 │   4／     8│
　　│744 │   2／    10│
　　│742 │   3／    13│
　　│741 │   2／    15│
　　│740 │   3／    18│
　　│739 │   2／    20│
　　│738 │   3／    23│
　　│737 │   5／    28│
　　│736 │   4／    32│
　　│735 │   4／    36│
　　│734 │   8／    44│
　　│733 │  10／    54│
　　│732 │   5／    59│
　　│731 │   9／    68│
　　│730 │   5／    73│
　　│729 │  14／    87│
　　│728 │   4／    91│
　　│727 │  17／   108│
　　│726 │   9／   117│
　　│725 │  12／   129│
　　│724 │  16／   145│
　　│723 │  11／   156│
　　│722 │  19／   175│
　　│721 │  18／   193│
　　│720 │  19／   212│
　　│719 │  29／   241│
　　│718 │  24／   265│
　　│717 │  25／   290│
　　│716 │  21／   311│
　　│715 │  24／   335│
　　│714 │  32／   367│
　　│713 │  26／   393│
　　│712 │  35／   428│
　　│711 │  33／   461│
　　│710 │  37／   498│
　　│709 │  40／   538│
　　│708 │  57／   595│
　　│707 │  41／   636│
　　│706 │  50／   686│
　　│705 │  62／   748│
　　│704 │  69／   817│
　　│703 │  76／   893│
　　│702 │  66／   959│
　　│701 │  80／  1039│
　　│700 │  76／  1115│
　　│699 │  73／  1188│
　　│698 │  70／  1258│
　　│697 │  99／  1357│
　　│696 │  80／  1437│
　　│695 │  86／  1523│
　　│694 │  81／  1604│
　　│693 │  93／  1697│
　　│692 │ 118／  1815│
　　│691 │ 122／  1937│
　　│690 │ 110／  2047│
　　│689 │ 128／  2175│
　　│688 │ 126／  2301│
　　│687 │ 124／  2425│
　　│686 │ 161／  2586│
　　│685 │ 126／  2712│
　　│684 │ 131／  2843│
　　│683 │ 157／  3000│
　　│682 │ 162／  3162│
　　│681 │ 150／  3312│
　　│680 │ 162／  3474│
　　│679 │ 173／  3647│
　　│678 │ 180／  3827│
　　│677 │ 174／  4001│
　　│676 │ 187／  4188│
　　│675 │ 206／  4394│
　　│674 │ 183／  4577│
　　│673 │ 186／  4763│
　　│672 │ 219／  4982│
　　│671 │ 190／  5172│
　　│670 │ 223／  5395│
　　│669 │ 226／  5621│
　　│668 │ 242／  5863│
　　│667 │ 212／  6075│
　　│666 │ 240／  6315│
　　│665 │ 236／  6551│
　　│664 │ 267／  6818│
　　│663 │ 252／  7070│
　　│662 │ 277／  7347│
　　│661 │ 299／  7646│
　　│660 │ 305／  7951│
　　│659 │ 270／  8221│
　　│658 │ 271／  8492│
　　│657 │ 254／  8746│
　　│656 │ 310／  9056│
　　│655 │ 299／  9355│
　　│654 │ 326／  9681│
　　│653 │ 309／  9990│
　　│652 │ 365／ 10355│
　　│651 │ 380／ 10735│
　　│650 │ 325／ 11060│
　　│649 │ 352／ 11412│
　　│648 │ 334／ 11746│
　　│647 │ 360／ 12106│
　　│646 │ 372／ 12478│
　　│645 │ 376／ 12854│
　　│644 │ 354／ 13208│
　　│643 │ 395／ 13603│
　　│642 │ 390／ 13993│
　　│641 │ 406／ 14399│
　　│640 │ 410／ 14809│
　　│639 │ 364／ 15173│
　　│638 │ 431／ 15604│
　　│637 │ 385／ 15989│
　　│636 │ 431／ 16420│
　　│635 │ 433／ 16853│
　　│634 │ 427／ 17280│
　　│633 │ 431／ 17711│
　　│632 │ 466／ 18177│
　　│631 │ 434／ 18611│
　　│630 │ 449／ 19060│
　　│629 │ 433／ 19493│
　　│628 │ 460／ 19953│
　　│627 │ 440／ 20393│
　　│626 │ 439／ 20832│
　　│625 │ 499／ 21331│
　　│624 │ 467／ 21798│
　　│623 │ 454／ 22252│
　　│622 │ 457／ 22709│
　　│621 │ 525／ 23234│
　　│620 │ 524／ 23758│
　　│619 │ 482／ 24240│
　　│618 │ 506／ 24746│
　　│617 │ 504／ 25250│
　　│616 │ 538／ 25788│
　　│615 │ 514／ 26302│
　　│614 │ 493／ 26795│
　　│613 │ 506／ 27301│
　　│612 │ 517／ 27818│
　　│611 │ 519／ 28337│
　　│610 │ 502／ 28839│
　　│609 │ 509／ 29348│
　　│608 │ 507／ 29855│
　　│607 │ 541／ 30396│
　　│606 │ 498／ 30894│
　　│605 │ 497／ 31391│
　　更多高考信息请访问：新浪高考频道 高考论坛 高考博客圈 高考贴吧
　　特别说明：由于各方面情况的不断调整与变化，新浪网所提供的所有考试信息仅供参考，敬请考生以权威部门公布的正式信息为准。

