海南中招13所中学择校线划出80分4星 
　　8月11日讯(记者 许欣)11日，13所中学的择校生入围分数线划出。中考成绩达到80分4星，择校第一志愿报考海南中学的考生，于8月14日(上午8：30-11：30，下午15：00-17：00)到海南中学凤栖堂缴交择校费3万元(含三年学费)，同时领取录取通知书，逾期不缴费的视为自愿放弃择校生资格，缴费请携带银联卡，不收现金。
　　别的中学也大都于最近几天收取择校费并办理录取手续，请考生及家长留意。
　　8月11日至13日，是中招第三批次录取时间。第三批录取学校包含省内外中等职业学校(含民办)、一般普通高中和省、市县(单位)重点普通高中学校的择校生。报读省、市县(单位)重点普通高中择校的考生，不受户籍、应往届初中毕业生综合素质B等以上(含B等)和体育成绩B等以上(含B等)的限制。省中招办特别强调，已被第一、二批录取的考生不得再参加择校录取。各学校招录择校生超计划和招录已被其他学校录取为公费生的不予审批，不予认可学籍，责任由学校自负。
　　学校                择校生分数线 
　　海南中学            80分4星 
　　国兴中学            67分 
　　海师附中            65分 
　　农垦中学            77分 
　　农垦实验中学        60分 
　　琼州学院附中        40分 
　　农垦三亚高级中学    32分 
　　热农院附中          34分 
　　农垦加来中学        43分
　　海南华侨中学        向海口招生80分3星
　　海口以外市县        80分4星
　　海口一中            78分4星
　　琼山中学            74分
　　海口实验中学        70分

