重庆中考完成首批录取 三所中学分数线超700分
　　>>到中考论坛报报分，讨论今年的分数线
　　>>特别推荐：2008年各地中考分数线及录取
　　昨日，全市普通高中联招考试完成首批录取，50所市级重点中学共录取高中新生30012人，重庆一中、南开中学和巴蜀中学三所学校的录取分数线超过700分。
　　今年参加全市“联招”录取的学校共90所，分两个批次进行。首批进场的应是53所市级重点中学，但有3所重点中学因为志愿不满额，未能入场进行录取。
　　由于试题难度降低、总分增加20分等原因，今年我市联招学校的录取分数线比往年明显升高。同是市级重点中学，录取分数线的跨度也非常大，录取分数线最高的三所学校超过700分，也有7所重点中学不足600分。
　　“分数高低不能说明重点中学难考，实际上联招学校的实际录取人数比往年大大增加。”市教委中招办负责人说，全市报考联招学校的考生人数近9.8万人，“联招”招生计划66436人，其中指令性计划46480人，择校生计划19956人。全市联招计划6.6万人，比去年增加6.16%。首批进入重点中学录取的50所学校的指令性招生计划，与去年比较增加近3460人。其中，15所重点中学增加计划，录取第二志愿高分考生460人。
　　除了联招录取场录取的学生之外，今年我市初中毕业生还有其他多种渠道升入重点高中。例如：我市扩大了市级重点中学指标到校的比例，将市级重点中学的统招计划以不低于30%的比例均衡分配到辖区内的普通初中学校，由学生推荐学生直升重点高中。在这30%的指标到校生中，其综合素质评价公民素养、道德品质达到“合格”，其他四个维度达到“A”等学生加10分。同时，在30%的指标到校生中用一定比例将“综合素质评价等级+特长”作为录取的依据，不再将中考分数作为唯一升学依据。
　　同时，7所委属重点中学向万州等19个区县投放270名计划指标。重庆南开中学和重庆市十八中学承办高中“宏志班”，分别在全市招收50名家境贫寒、品学兼优的学生。重庆兼善中学将承办由浙江新华爱心教育基金会资助开办的“珍珠班”，在联招范围内招收50名家境贫困、品学兼优的学生。
　　据悉，全市联招学校第二批录取将于14日进行。(记者 汤寒锋 实习生 邹政)
　　序号 学校名称 分数线
　　1 市一中 708 
　　2 南开中学 706 
　　3 市八中 699 
　　4 育才中学 690 
　　5 巴蜀中学 703 
　　6 外国语学校 696 
　　7 西师附中 693 
　　8 求精中学 684 
　　9 市二十九中 652 
　　10 市四十二中 590 
　　11 复旦中学 628 
　　12 市18中 671 
　　13 字水中学 638 
　　14 市七中 666 
　　15 凤鸣山中学 664 
　　16 市37中学 635 
　　17 铁路中学 654 
　　18 杨家坪中学 655 
　　19 渝西中学 587 
　　20 电厂中学 587 
　　21 渝高中学 626 
　　22 市十一中 684 
　　23 南坪中学 630 
　　24 广益中学 595 
　　25 第二外国语学校683 
　　26 兼善中学 650 
　　27 江北中学 648 
　　28 朝阳中学 650 
　　29 巴县中学 678 
　　30 清华中学 655 
　　31 渝北中学 653 
　　32 松树桥中学 606 
　　33 暨华中学 608 
　　34 綦江中学 650 
　　35 长寿中学 642 
　　36 川维中学 609 
　　37 长寿一中 587 
　　38 荣昌中学 665 
　　39 安富中学 587 
　　40 大足中学 632 
　　41 永川中学 669 
　　42 萱花中学 638 
　　43 北山中学 643 
　　44 合川中学 669 
　　45 太和中学 587 
　　46 璧山中学 668 
　　47 璧山来凤中学 602 
　　48 铜梁中学 682 
　　49 铜梁一中 659 
　　50 潼南中学 652
    更多信息请访问：新浪中考频道 中考论坛 中考博客圈
　　特别说明：由于各方面情况的不断调整与变化，新浪网所提供的所有考试信息仅供参考，敬请考生以权威部门公布的正式信息为准。

