福建2010招收硕士研究生报考点接受报考范围
　　报考点代码 报考点名称 接受报考范围
　　3501 福州市高等学校招生办公室 全国统考；法硕联考；推免生
　　3502 莆田市高等学校招生办公室 全国统考；不接受报考科目超过3小时的考生
　　3503 泉州市招生考试委员会办公室 全国统考；法硕联考；推免生；华侨大学的MBA联考
　　3504 厦门大学 报考厦门大学的全国统考、MBA联考、MPA联考、单考；推免生；法硕联考
　　3505 漳州市高等学校招生办公室 全国统考；不接受报考科目超过3小时的考生
　　3506 龙岩市高等学校招生办公室 全国统考；不接受报考科目超过3小时的考生
　　3507 三明市高等学校招生办公室 全国统考；不接受报考科目超过3小时的考生
　　3508 南平市高等学校招生办公室 全国统考；不接受报考科目超过3小时的考生
　　3509 宁德市高等学校招生办公室 全国统考；不接受报考科目超过3小时的考生
　　3510 福州大学 本校和福建农林大学的单考、MBA联考、推免生
　　3511 福建师范大学 本校的单考、MBA联考、MPA联考和推免生；农村教育硕士
　　3512 厦门市招生考试委员会办公室 全国统考(不含报考厦门大学的考生)；不接受报考科目超过3小时的考生

