09年浙江普通高考文科第一批分数分段统计表
　　│分数│ 小计／累计 │
　　│709 │   1／     1│
　　│706 │   1／     2│
　　│703 │   2／     4│
　　│702 │   1／     5│
　　│701 │   2／     7│
　　│699 │   2／     9│
　　│698 │   1／    10│
　　│696 │   3／    13│
　　│695 │   2／    15│
　　│694 │   4／    19│
　　│693 │   3／    22│
　　│692 │   5／    27│
　　│691 │   2／    29│
　　│690 │   6／    35│
　　│689 │   1／    36│
　　│688 │   2／    38│
　　│687 │   8／    46│
　　│686 │   9／    55│
　　│685 │   7／    62│
　　│684 │   3／    65│
　　│683 │   6／    71│
　　│682 │   7／    78│
　　│681 │  11／    89│
　　│680 │   7／    96│
　　│679 │  10／   106│
　　│678 │   6／   112│
　　│677 │   6／   118│
　　│676 │   7／   125│
　　│675 │  11／   136│
　　│674 │  12／   148│
　　│673 │  15／   163│
　　│672 │  27／   190│
　　│671 │  22／   212│
　　│670 │  10／   222│
　　│669 │  22／   244│
　　│668 │  11／   255│
　　│667 │  18／   273│
　　│666 │  24／   297│
　　│665 │  29／   326│
　　│664 │  20／   346│
　　│663 │  34／   380│
　　│662 │  41／   421│
　　│661 │  36／   457│
　　│660 │  24／   481│
　　│659 │  33／   514│
　　│658 │  44／   558│
　　│657 │  43／   601│
　　│656 │  33／   634│
　　│655 │  44／   678│
　　│654 │  45／   723│
　　│653 │  62／   785│
　　│652 │  56／   841│
　　│651 │  52／   893│
　　│650 │  60／   953│
　　│649 │  61／  1014│
　　│648 │  66／  1080│
　　│647 │  66／  1146│
　　│646 │  74／  1220│
　　│645 │  72／  1292│
　　│644 │  60／  1352│
　　│643 │  89／  1441│
　　│642 │  71／  1512│
　　│641 │  89／  1601│
　　│640 │ 101／  1702│
　　│639 │ 102／  1804│
　　│638 │  90／  1894│
　　│637 │ 104／  1998│
　　│636 │  81／  2079│
　　│635 │ 106／  2185│
　　│634 │ 123／  2308│
　　│633 │ 123／  2431│
　　│632 │ 113／  2544│
　　│631 │ 122／  2666│
　　│630 │ 122／  2788│
　　│629 │ 124／  2912│
　　│628 │ 124／  3036│
　　│627 │ 134／  3170│
　　│626 │ 165／  3335│
　　│625 │ 150／  3485│
　　│624 │ 136／  3621│
　　│623 │ 147／  3768│
　　│622 │ 169／  3937│
　　│621 │ 171／  4108│
　　│620 │ 163／  4271│
　　│619 │ 147／  4418│
　　│618 │ 166／  4584│
　　│617 │ 186／  4770│
　　│616 │ 178／  4948│
　　│615 │ 197／  5145│
　　│614 │ 198／  5343│
　　│613 │ 179／  5522│
　　│612 │ 192／  5714│
　　│611 │ 213／  5927│
　　│610 │ 218／  6145│
　　│609 │ 193／  6338│
　　│608 │ 203／  6541│
　　│607 │ 212／  6753│
　　│606 │ 194／  6947│
　　更多高考信息请访问：新浪高考频道 高考论坛 高考博客圈 高考贴吧
　　特别说明：由于各方面情况的不断调整与变化，新浪网所提供的所有考试信息仅供参考，敬请考生以权威部门公布的正式信息为准。

