北京市部分院校公布09年二本录取提档线
　　部分院校公布二本录取提档线
　　 北京市本科二批次录取正在进行中，首都经济贸易大学、北京工商大学、首都师范大学、中国劳动关系学院等高校公布了录取提档分数线。
　　首都经济贸易大学 二批一志愿全部录满
　　首经贸本科二批提档线确定为文科504分，理科460分，文科比本科二批录取最低控制分数线高出15分。据了解，该校本科二批一志愿全部录满，没有扩招计划，不录取二志愿考生。
　　北方工业大学 文科在二本招生
　　北方工业大学今年在京招生1500多人，其中，本科一批次招生1312人，二批次计划招生200多人。理工科专业在本科一批次已录取结束。文科在本科二批次录取，提档线为516分，整体生源较好。
　　中国劳动关系学院 文科最高录取分548
　　中国劳动关系学院招办主任王淑芬介绍，该校今年在京计划招生125人，其中文科计划招生66人，理科计划招生59人。学校在京提档线为文科498分、理科459分。文科生源质量较好，在京录取最高分为548分，最低分为503分，高出北京二本录取最低控制线14分。
　　北京石油化工学院 文理科调档线均提高
　　北京石油化工学院今年在京招生1100人，其中文科130人，理科970人。该校二本调档线比往年有小幅提高，文科为496分，理科为467分，主要原因是今年报考考生比往年增多。
　　北京联合大学 文科7专业一志愿录满
　　北京联合大学招生就业处处长高桥介绍，今年北联大提档线为文科489分、理科459分。文科录取最高分是538分，理科录取最高分是510分。英语、金融学、工商管理、会计、档案学、新闻学、财务管理等专业生源质量较好。文科7个专业一志愿全部录满，这些专业包括金融学、工程管理、会计学、财务管理、汉语言文学(师范)、应用心理学、应用心理学(师范)等。理科的金融学、会计学、工商管理等14个专业也是一志愿录满。
　　据介绍，今年该校本科二批一志愿的上线率比往年高出10%以上，文科上线率近50%，理科上线率在30%以上。
　　北京物资学院 两专业报考最热
　　北京物资学院在京提档线为文科505分、理科476分。据该校教务处处长许春燕介绍，学校会计学(注册会计师)和会计学(注册资产评估师)两个专业报考最热。学校录取的文科最高分为575分，理科最高分为574分。
　　北京城市学院 会计学(注册会计师)专业报考最火
　　北京城市学院招办主任曾玉红介绍，该校本科二批提档线为本市二批录取最低控制分数线，即文科489分，理科459分。注册会计师专业报考最热门，录取分数最高。今年城市学院在本市还将录取二志愿考生。北京考试报讯(记者 邱乾谋 郝 娜)
　　部分院校本科二批录取提档线
　　学校 　  文科 理科 　
　　首都师范大学 　 520 492　　
　　首都经济贸易大学 　 504 460　　
　　北京工商大学 　 526 490　　
　　北方工业大学 　 516 —　　
　　中国劳动关系学院 　 498 459　　
　　北京信息科技大学 　 489 478　　
　　北京印刷学院 　 503 459　　
　　北京大学医学部 　 — 509　　
　　北京石油化工学院 　 496 467　　
　　北京建筑工程学院 　 489 467　　
　　北京联合大学 　 489 459　　
　　北京物资学院 　 505 476　　
　　北京农学院 　  498 459　　
　　中华女子学院 　 489 459　　
　　北京城市学院 　 489 459

