09年本科三批院校黑龙江招录最低分数线公示
　　院校名称                         科类名称   最低分数
　　郑州大学                           文史      467
　　郑州大学                           理工      467
　　山东工商学院                       文史      459
　　山东工商学院                       理工      438
　　黑龙江大学(伊春分校)               文史      445
　　黑龙江大学(伊春分校)               理工      429
　　黑龙江大学                         文史      461
　　黑龙江大学                         理工      446
　　哈尔滨理工大学                     文史      463
　　哈尔滨理工大学                     理工      452
　　黑龙江科技学院                     文史      431
　　黑龙江科技学院                     理工      412
　　大庆石油学院                       文史      446
　　大庆石油学院                       理工      444
　　黑龙江八一农垦大学                 文史      426
　　东北农业大学                       理工      440
　　哈尔滨医科大学(大庆校区)           文史      452
　　哈尔滨医科大学(大庆校区)           理工      432
　　黑龙江中医药大学                   文史      456
　　黑龙江中医药大学                   理工      439
　　牡丹江医学院                       文史      451
　　哈尔滨师范大学                     文史      444
　　哈尔滨师范大学(阿城学院)           文史      421
　　黑龙江工程学院                     文史      435
　　黑龙江工程学院                     理工      440
　　首都师范大学科德学院               文史      417
　　北京工商大学嘉华学院               文史      446
　　北京工商大学嘉华学院               理工      433
　　北京工业大学耿丹学院               文史      430
　　北京邮电大学世纪学院               文史      462
　　天津财经大学珠江学院               文史      432
　　天津外国语学院滨海外事学院         文史      457
　　天津医科大学临床医学院             理工      444
　　南开大学滨海学院                   文史      463
　　南开大学滨海学院                   理工      431
　　天津大学仁爱学院                   理工      420
　　燕山大学里仁学院                   文史      466
　　河北医科大学临床学院               理工      453
　　华北电力大学科技学院               理工      453
　　石家庄铁道学院四方学院             文史      432
　　石家庄铁道学院四方学院             理工      407
　　北京中医药大学东方学院             文史      451
　　北京中医药大学东方学院             理工      426
　　河北师范大学汇华学院               文史      419
　　沈阳大学科技工程学院               文史      424
　　沈阳大学科技工程学院               理工      442
　　大连理工大学城市学院               文史      459
　　大连理工大学城市学院               理工      454
　　沈阳理工大学应用技术学院           理工      411
　　大连工业大学艺术与信息工程学院     理工      408
　　大连交通大学信息工程学院           文史      453
　　大连交通大学信息工程学院           理工      434
　　中国医科大学临床医药学院           理工      435
　　辽宁中医药大学杏林学院             文史      419
　　大连医科大学中山学院               理工      420
　　辽宁对外经贸学院                   文史      430
　　辽宁对外经贸学院                   理工      412
　　东北师范大学人文学院               文史      445
　　上海外国语大学贤达经济人文学院     理工      424
　　南京邮电大学通达学院               理工      438
　　中国传媒大学南广学院               文史      437
　　中国传媒大学南广学院               理工      422
　　厦门大学嘉庚学院                   文史      429
　　江西师范大学科学技术学院           文史      453
　　江西师范大学科学技术学院           理工      409
　　华东交通大学理工学院               文史      416
　　烟台南山学院                       文史      439
　　潍坊科技学院                       理工      427
　　武汉科技大学中南分校               文史      417
　　武汉科技大学中南分校               理工      413
　　西安翻译学院                       文史      460
　　西安翻译学院                       理工      463
　　西安外事学院                       文史      444
　　西安外事学院                       理工      453
　　西京学院                           理工      409
　　南昌理工学院                       文史      417
　　南昌理工学院                       理工      443
　　上海建桥学院                       文史      424
　　山东英才学院                       文史      416
　　三峡大学科技学院                   理工      446
　　西北工业大学明德学院               理工      428

