2010年研究生招生现场咨询会将在17个城市举办
　　记者从教育部科技发展中心获悉，自今年6月1日起，2010年研究生招生系列现场咨询会将拉开帷幕，轮流在17个城市举办，其中举办地点新增南昌等9个城市。
　　据中国教育和科研计算机网副总编辑任蕾介绍，新增城市包括南昌、长沙、杭州、乌鲁木齐、昆明、沈阳、福州、合肥、广州等9个城市。首场研招咨询会将于6月1日上午8时30分至12时在江西财经大学蛟桥校区综合办公楼前举行。
　　研招咨询会对考生和家长免费开放，时间大多定在周末，方便考生参加。咨询会既解决考生和家长关心的报考问题，又将展示各招生单位的优势学科以及特色专业，使考生能够更好地了解招生单位，选择适合的学校及专业。
　　去年参加过研招咨询的刘恒说，参加咨询时考生可问研招办负责人三个问题：一是该校今年有哪些增减专业，新增专业是否招生；二是该校明年的硕士生招生是否扩招；三是考生拟报考专业2009年的录取情况，如报考人数、复试分数线、复试人数、调剂人数、最终录取人数等。考生还要尽可能多地搜集不同招生单位同一专业的招生录取比例，掌握竞争激烈程度。
　　首都师范大学研招办主任于丽萍建议，考生在参加咨询前，要事先对参会的招生单位有所了解，并整理好问题，以便提高咨询效率。在咨询现场，考生要尽量提有关报考专业的问题，如该专业的师资力量、研究方向、是否有利于继续攻读博士等。(记者 陈霄飞)
　　2010年全国研究生招生现场咨询会场次安排
　　日期  城市  学校
　　6月1日  南昌  江西财经大学
　　6月6日  长沙  中南大学
　　6月13日  杭州  浙江工业大学
　　6月13日  西安  曲江国际会展中心
　　6月20日  济南  山东师范大学
　　6月27日  哈尔滨  哈尔滨师范大学
　　7月4日  成都  四川师范大学
　　7月11日  乌鲁木齐 新疆财经大学
　　7月11日  昆明  云南财经大学
　　9月5日  沈阳  东北大学
　　9月5日  福州  福州大学
　　9月12日  郑州  郑州大学
　　9月12日  合肥  合肥工业大学
　　9月19日  南京  江苏省高校招生就业指导服务中心
　　9月20日  武汉  华中科技大学
　　9月26日  广州  华南农业大学
　　9月26日  重庆  重庆大学
　　(最终时间、参会单位以主办方公布信息为准)
    更多信息请访问：新浪考研频道 考研论坛 考研博客圈
　　特别说明：由于各方面情况的不断调整与变化，新浪网所提供的所有考试信息仅供参考，敬请考生以权威部门公布的正式信息为准。

