北京09年中高考特长生体育竞赛范围确定
　　北京考试报讯(记者 彭 丹)  3月4日，记者从北京市教委了解到，全市能办理高中体育特长生竞赛成绩证明和高级中等学校招收体育特长生推荐项目的竞赛范围已经确定。
　　北京市中小学生体育竞赛分成三类，即高中阶段能够为体育特长生办理体育竞赛成绩优胜证明的竞赛、初中阶段为高级中等学校招收体育特长生推荐项目的竞赛和普通群体性体育比赛。
　　据了解，北京市高中体育特长生能够办理体育竞赛成绩优胜证明的竞赛包括：北京市中学生田径运动会，北京市中学生“金帆杯”足球、篮球、排球比赛，“振兴中华杯”足球、篮球、排球比赛，北京市中学生乒乓球、羽毛球、网球、棒球、垒球、手球、武术、游泳、跆拳道、健美操、定向越野比赛，北京市传统校田径、足球、篮球、排球、棒球、乒乓球、游泳、定向越野比赛，“北京奥林匹克教育体育后备人才培养基地学校”比赛。
　　高级中等学校招收体育特长生推荐项目竞赛范围包括：中学生田径运动会，“金帆杯”足球、篮球、排球比赛，中小学生长跑比赛、乒乓球比赛、游泳比赛，传统项目学校田径、足球、篮球、排球、棒球、乒乓球、游泳、武术、定向越野比赛，“北京奥林匹克教育体育后备人才培养基地学校”(原试点校)田径比赛，受市教委、市体育局委托由北京学生活动管理中心举办的足球、篮球、排球、游泳、武术、健美操、体操、跆拳道比赛，北京市中小学生艺术体操锦标赛。
　　据了解，按照往年规定，在高级中等学校招收体育特长生推荐项目竞赛中获奖的考生，中考时每科加一分。高中阶段办理了体育竞赛成绩优胜证明的考生，在高考时可加20分。
　　2009年相关体育竞赛项目
　　比赛名称        时间  地点
　　北京市中小学生乒乓球比赛      2009.1  66中
　　北京市中学生“金帆杯”足球比赛      2009.1-2 大兴一中
　　北京市中学生“金帆杯”篮球比赛      2009.1-2 北京八中
　　北京市中学生“金帆杯”排球比赛      2009.1-2 景山学校
　　北京市中小学生长跑比赛       2009.3  青龙湖公园
　　北京市“振兴中华杯”篮球比赛      2009.3-11 基层学校场馆
　　北京市中学生田径运动会       2009.4  待定
　　北京市09奥林匹克教育体育后备人才学校田径比赛    2009.4-5 待定
　　北京市中小学生棒球比赛(中学组)     2009.9  大成学校顺义棒球庄园
　　北京市“振兴中华杯”足球比赛      2009.10-11 人大附中、回民学校等
　　北京市“振兴中华杯”排球比赛      2009.10-11 基层学校场馆
　　北京市中小学跆拳道锦标赛      2009.10-11 租用体育馆
　　北京市中小学体操等级运动员规定动作达标赛    2009.10  体育大学
　　北京市中小学武术锦标赛       2009.11  少林武校
　　北京市中小学健美操锦标赛      2009.11  基层学校场馆
　　全国高中男子篮球联赛(北京赛区)暨“振兴中华杯”男高甲级联赛  2009.11-12 参赛校主客场
　　全国高中女子篮球联赛(北京赛区)暨“振兴中华杯”女高甲级联赛  2009.11-12 北京八中
　　中国李宁初中男子篮球联赛(北京赛区)暨“振兴中华杯”男初甲级联赛 2009.11-12 22中、中关村中学等
　　匡威杯初中男子篮球联赛(北京赛区)暨“振兴中华杯”男初乙级联赛  2009.11-12 参赛校主客场
　　北京市中小学游泳锦标赛       2009.12  育英学校游泳馆
　　更多高考信息请访问：新浪高考频道 高考论坛 高考博客圈 高考贴吧
　　特别说明：由于各方面情况的不断调整与变化，新浪网所提供的所有考试信息仅供参考，敬请考生以权威部门公布的正式信息为准。

