2010年湖北高考成绩一分一段表
　　分数 人数 累计人数
　　666以上 96 96
　　665 12 108
　　664 8 116
　　663 8 124
　　662 15 139
　　661 16 155
　　660 24 179
　　659 20 199
　　658 12 211
　　657 17 228
　　656 17 245
　　655 16 261
　　654 23 284
　　653 18 302
　　652 27 329
　　651 39 368
　　650 31 399
　　649 21 420
　　648 41 461
　　647 41 502
　　646 49 551
　　645 47 598
　　644 41 639
　　643 47 686
　　642 50 736
　　641 44 780
　　640 62 842
　　639 72 914
　　638 60 974
　　637 55 1029
　　636 80 1109
　　635 80 1189
　　634 80 1269
　　633 87 1356
　　632 70 1426
　　631 104 1530
　　630 101 1631
　　629 94 1725
　　628 93 1818
　　627 106 1924
　　626 126 2050
　　625 117 2167
　　624 122 2289
　　623 128 2417
　　622 124 2541
　　621 142 2683
　　620 151 2834
　　619 145 2979
　　618 167 3146
　　617 174 3320
　　616 155 3475
　　615 174 3649
　　614 207 3856
　　613 188 4044
　　612 190 4234
　　611 222 4456
　　610 211 4667
　　609 226 4893
　　608 231 5124
　　607 228 5352
　　606 265 5617
　　605 257 5874
　　604 270 6144
　　603 260 6404
　　602 264 6668
　　601 296 6964
　　600 280 7244
　　599 289 7533
　　598 344 7877
　　597 344 8221
　　596 316 8537
　　595 363 8900
　　594 380 9280
　　593 370 9650
　　592 364 10014
　　591 371 10385
　　590 468 10853
　　589 432 11285
　　588 477 11762
　　587 457 12219
　　586 483 12702
　　585 500 13202
　　584 514 13716
　　583 484 14200
　　582 524 14724
　　581 537 15261
　　580 524 15785
　　579 549 16334
　　578 581 16915
　　577 611 17526
　　576 597 18123
　　575 583 18706

