高考生二次网报27日开始 填报高职要参考就业率
　　本报讯 (见习记者周际娜) 27日开始，我省高考考生将进行第二次网上填报志愿。专家特别提醒考生，本次填报志愿应充分考虑有关部门公布的高职(高专)2010年毕业生就业率排名，慎报就业率排名靠后的院校和专业。
　　据了解，今年高考结束后，省政府招考办发布了2010年黑龙江省普通高等学校毕业生初次就业状况，以此为考生填报志愿时提供参考。记者了解到，在高职(高专)院校中，有黑龙江公安警官职业学院等五所院校2010年毕业生初次就业率排名靠后，有法律与司法实务等专业就业率位居后10名。今年，我省高职(高专)院校省内招生计划与去年相比均有变化，如黑龙江三江美术职业学院由去年的109人减为64人，但很多院校还是在我省增加了招生计划。有关人士分析说，全国总的考生数量在逐年下降，尽管今年我省考生数量比去年有所增加，但这难以改变高职院校招生日趋困难的现状，因此，考生在填报志愿时应该仔细搜集资料，谨慎甄别，不要盲目轻信学校宣传。
　　2010年初次就业率后十位的高职专业
　　专业      　         总人数 就业人数     就业率
　　法律与司法实务 　      27  　   1         3.70
　　刑事技术  　           58  　   3         5.17
　　侦查   　              137 　   10        7.30
　　警察指挥与战术 　      54  　   4         7.41
　　治安管理  　           116 　   12        10.34
　　法律文秘  　           82     　13        15.85
　　染整技术  　           43  　   7         16.28
　　心理健康教育 　        58  　   13        22.41
　　现代纺织技术 　        45  　   11        24.44
　　图形图像制作 　        94  　   23        24.47
　　2010年高职初次就业率后五位学校
　　学院      　                 总人数      就业人数     就业率
　　黑龙江公安警官职业学院 　      836          34         4.07
　　哈尔滨江南职业技术学院 　      113          27         23.89
　　黑龙江三江美术职业学院 　      157          42         26.75
　　黑龙江工程学院昆仑旅游学院 　  100          27         27.00
　　佳木斯职业学院   　            193          55         28.50

