1994-2007年考研英语熟词偏义词汇汇总
　　考研英语词汇中，有这样一类词，虽然很眼熟，但是在句子中的意思却不是自己熟悉的，这类词汇被成为“熟词偏义”。通常情况下，这类词汇是很让人头疼的，那么在2010年考研英语复习中，考研教育网辅导专家建议广大考生可以把这类词单独拿出来，熟练记忆其不常见的用法。
　　embrace 包括；接受， 信奉；拥抱
　　preferred 有优先权的
　　exceptional 特殊的；例外的
　　prejudice 损害；偏见
　　dormant 暂停活动的；潜在的；睡着的
　　serve　有作用
　　act　法案；(戏剧的)一幕
　　govern　适用于，管理term条款，术语；学期
　　personality　人物，名人；个性，人格
　　fine　细微的
　　secure　获得，得到；a。安全的
　　rather　恰恰相反；相当
　　knowledge　知道；知识
　　aggressive　有进取心的，大胆的；侵犯的
　　reasoning　推理
　　interpret　解释，口译
　　assume　假设，承担，采用
　　mental　心理的，精神的，智力的
　　account　描述；叙述
　　coverage　新闻报道，覆盖
　　launch　发起，开展，发射
　　grant　授予，同意，准予
　　line　思路
　　engage 雇用，使参与
　　dictate 命令，口授，听写
　　render 使得；给予；翻译
　　discipline 训练，学科；纪律
　　acute 敏锐的；(病)急性的
　　fair 集市，交易会，博览会
　　virtually 几乎，实际上
　　authority 当局
　　import 意义，重要性，含义；进口，输入
　　implication 含义，暗示
　　passage 通过；段落
　　otherwise 在其他方面，否则
　　diversion 消遣，转移
　　harsh 严酷的，严厉的；难听的
　　frontier 前沿，新领域；边境
　　settlement 定居地，解决
　　convention 习俗；大会，会议；公约
　　abuse 滥用；虐待；谩骂
　　perceptual 感知的，知觉的
　　perception 感知，察觉；理解
　　radically 根本地，极端地，激进地
　　group 分组，分类
　　late 已故的；迟的，晚的
　　close 完成
　　ground 理由，根据
　　latitude (言语、行动等的)回旋余地，自由；纬度
　　conduct 指挥，管理；行为
　　favorable 有利的，顺利的，赞许的
　　bid 企图，努力
　　contention 争夺，竞争；争吵；争辩，论点
　　establish 确定；建立，确立
　　conclusive 有说服力的，确定性的；决定性的
　　fashion 方式；流行式样
　　blunt 直率的；钝的trial审判；试验
　　dramatize 使引人注目，使戏剧化，生动地表达
　　plague 令人烦恼的事；瘟疫，灾害
　　discern 区别，识别；理解
　　span 横跨，跨越；持续，包括；n。一段时间；跨度
　　population (某地或某类)物品的总数，种群；人口
　　slip 滑倒；n。疏忽，小错
　　liability 责任，义务；债务[复数]
　　claim 索赔；声称，主张
　　tap 开发，利用
　　betray 背叛，出卖；暴露
　　highlight 强调，突出
　　acquisition 获得，学会
　　panel 专门小组
　　appeal to 呼吁；吸引；上诉
　　impose 强加，征(税)
　　entrance 进入，入口(动词enter)
　　referee 审阅；仲裁(动词refer参考)
　　alien 不相容的，陌生的，外国的
　　might 力量，威力(形容词mighty 强有力的)
　　lateral 平级的；侧面的
　　cover 掩饰，盖住
　　exit 辞职；出口
　　term 把…称为，把…叫做
　　preach 竭力鼓吹，宣讲，讲道
    更多信息请访问：新浪考研频道 考研论坛 考研博客圈
　　特别说明：由于各方面情况的不断调整与变化，新浪网所提供的所有考试信息仅供参考，敬请考生以权威部门公布的正式信息为准。

