湖北32所三批本科院校第一志愿投档线
　　荆楚网消息 (楚天都市报) 
　　院校名称 理工类 文史类
　　武汉大学东湖分校 486 481
　　武汉大学珞珈学院 410 420
　　华中科技大学文华学院 489 471
　　华中科技大学武昌分校 494 486
　　华中师范大学汉口分校 441 450
　　华中师范大学武汉传媒学院 410 413
　　中南财经政法大学武汉学院 449 460
　　华中农业大学楚天学院 410 410
　　中国地质大学江城学院 448 448
　　武汉理工大学华夏学院 454 411
　　武汉科技大学城市学院 452 454
　　武汉科技大学中南分校 462 463
　　湖北大学知行学院 410 410
　　中南民族大学工商学院 432 442
　　三峡大学科技学院 439 434
　　武汉体育学院体育科技学院 410 410
　　江汉大学文理学院 410 410
　　武汉工程大学邮电与信息工程学院 435 421
　　武汉科技学院外经贸学院 412 417
　　武汉工业学院工商学院 410 413
　　襄樊学院理工学院 410 410
　　孝感学院新技术学院 410 410
　　湖北经济学院法商学院 438 430
　　湖北民族学院科技学院 410 410
　　湖北工业大学工程技术学院 452 429
　　湖北工业大学商贸学院 420 410
　　湖北汽车工业学院科技学院 420 422
　　湖北师范学院文理学院 410 410
　　长江大学工程技术学院 410 410
　　长江大学文理学院 410 410
　　郧阳医学院药护学院 448 445
　　武汉生物工程学院 410 410
　　更多高考信息请访问：新浪高考频道 高考论坛 高考博客圈 高考贴吧
　　特别说明：由于各方面情况的不断调整与变化，新浪网所提供的所有考试信息仅供参考，敬请考生以权威部门公布的正式信息为准。

