山东大学2009年普通本科招生章程
　　新浪考试讯：山东大学本科招生网近日公布了2009年招生章程，特别搜集整理以方便考生阅读，详细内容如下：
　　第一章 总则  
　　为了保证山东大学2009年普通本科招生工作的顺利进行，提高生源质量，维护学校和考生的合法权益，根据《中华人民共和国教育法》、《中华人民共和国高等教育法》和《教育部关于做好2009年普通高等学校招生工作的通知》(教学[2009]2号)等有关文件精神，结合山东大学招生工作的具体情况，制定本章程。  
　　第一条 本章程适用于山东大学普通本科招生录取工作。  
　　第二条 山东大学招生工作贯彻公平竞争、公正选拔、公开透明的原­则，德智体美全面考核、综合评价、择优录取。 
　　第三条 山东大学招生工作接受纪检监察部门、考生、新闻媒体和社会各界的监督。  
　　第二章 学校概要  
　　第四条 学校全称：山东大学。  
　　第五条 学校代码：山东大学总校10422；山东大学威海分校19422。  
　　第六条 办学类型：教育部直属重点综合性大学。  
　　第七条 办学层次：以本科、研究生为主。  
　　第八条 校址：山东大学总校在山东省济南市；山东大学威海分校在山东省威海市。 
　　第九条 人才培养目标：培养具有高度的社会责任心和国际视野、过硬的社会竞争力和创造力、个性与人格得到健全发展的高素质人才。 
　　第十条 办学特点：山东大学创建于1901年，是教育部直属重点综合性大学和“211工程”、“985工程”重点建设高校。山东大学总校有东校区新校、老校、西校区、南校区、软件学院和南新区六个校园。一百多年来，山东大学秉承“学术自由、兼容并包”的办学理念，形成了淳朴的学风与浓郁的学术文化氛围；继承传统，重视基础，鼓励创新，扶持新人；以教师学生为中心、以培养和造就民族中坚为己任，担承社会责任，致力学术繁荣；以“气有浩然，学无止境”为校训，实施全方位开放式发展战略，倡导刚毅厚重、朴实无华的大学文化；学科涵­盖文学、史学、哲学、经­济学、管理学、法学、理学、工学、医学、教育学、军事学十一大门类，是一所国内外著名的综合性、开放性、研究型大学。现在的山东大学正在实施学术振兴行动计划，“山大特色、中国一流、世界水平”已成为学校的办学目标，深厚的历史积淀正融入开放而富于创新精神的办学理念，使百年山大焕发出蓬勃的青春活力，成为海内外学子治学与成才的理想殿堂。  
　　第三章 组织机构  
　　第十一条 山东大学设有招生工作委员会，下设本专科生招生工作领导小组，负责制定招生政策，讨论决定招生工作中的重大事宜。  
　　第十二条 山东大学招生(教育拓展)办公室是组织和实施招生、教育拓展工作的常设机构，具体负责山东大学普通本科招生和教育拓展的日常工作。  
　　第十三条 山东大学监察处对招生工作实施监督(监督电话：0531-88364345)。  
　　第四章 招生计划 
　　第十四条 学校按照相对稳定规模、重视提高培养质量的原­则，2009年本科生招生计划为10500人(其中威海分校3500人)。 
　　第十五条 招生计划分为普通类和保送生、外国语言文学类(非英语)专业提前单独招生、自主选拔录取、艺术特长生、艺术类、体育类等类型。 
　　第十六条 学校分省分专业招生计划根据有关省份的生源、毕业生就业等情况，结合自身办学条件编制。  
　　第十七条 山东大学招生计划通过各省级招生主管部门、学校招生简章、学校网站等形式向考生和社会公布。  
　　第五章 录取规则  
　　第十八条 在高考成绩达到相应批次录取最低控制分数线的考生中，按照不超过我校在有关省份招生计划120%的比例、第一学校志愿实行平行志愿的省份按不超过105%的比例调阅考生档案。 
　　第十九条 山东大学对考生体检的要求参照《普通高等学校体检工作指导意见》，按照《山东大学普通本科招生体检标准》执行。 
　　第二十条 普通高考统一录取时，按公布的招生计划，首先录取第一学校志愿的考生；在第一学校志愿生源不足的情况下，不拒绝录取非第一学校志愿考生。 
