四川公布2011年高招本科一批三次未完成计划
　　新浪教育讯 四川省公布2011年普通高校招生本科一批三次未完成计划，本站将随录取进程第一时间发布各省市相关高招信息，感谢关注！
　　请考生注意：以下公布的各院校的地址、办学性质、各专业的收费标准及专业要求等，请以《2011年招生计划合订本》公布的为准。院校录取规则和相关要求请查询2011年普通高校《招生章程汇编》。
　　一、文科
　　学校代号、名称及专业代号、名称    计划                               
　　0040 合肥工业大学                           1                        
　　00  思想政治教育                                         1         
　　0365 石河子大学                             1                        
　　06  英语(商务英语方向)                                 1         
　　1501 内蒙古大学                             6                        
　　04  哲学                                                 2         
　　06  汉语言文学                                           1         
　　07  对外汉语                                             1         
　　11  法学                                                 1         
　　14  劳动与社会保障                                       1         
　　2106 辽宁工程技术大学                       1                        
　　10  广播电视新闻学                                       1         
　　2201 长春理工大学                           2                        
　　04  汉语言文学                                           2         
　　2309 东北农业大学                           1                        
　　07  市场营销                                             1       
　　二、理科
　　学校代号、名称及专业代号、名称    计划                               
　　0023 东北林业大学                           6                        
　　06  林学(森林防火)                                     1         
　　07  森林资源保护与游憩(外来有害物种控制)               1         
　　24  林产化工                                             2         
　　50  包装工程                                             2         
　　0047 华中农业大学                           2                        
　　38  水族科学与技术                                       1         
　　45  茶学                                                 1         
　　0365 石河子大学                            50                        
　　19  药学                                                 4         
　　20  中药学                                               1         
　　24  农业机械化及其自动化                                 3         
　　29  农业水利工程                                         3         
　　30  给水排水工程                                         1         
　　33  轻工纺织食品类                                      12         
　　34  农林经济管理                                         2         
　　35  经济学类                                             1         
　　36  工商管理类                                           1         
　　40  英语(商务英语方向)                                 1         
　　41  俄语                                                 1         
　　48  资源环境与城乡规划管理                               4         
　　54  应用化学                                             3         
　　55  化学工程与工艺                                       4         
　　56 化学工程与工艺(定向就业招生)                          2      
　　60  计算机科学与技术                                     3         
　　63  生物科学类                                           4         
　　1501 内蒙古大学                             7                        
　　29  数学与应用数学                                       1         
　　38  生态学                                               2         
　　40  环境工程                                             2         
　　42  电子科学与技术                                       2         
　　2106 辽宁工程技术大学                       7                        
　　62  生物工程                                             1         
　　68  数学类(理科实验班)                                 6         
　　2115 沈阳农业大学                           6                        
　　03  中草药栽培与鉴定                                     1         
　　27  蚕学                                                 1         
　　44  计算机科学与技术                                     2         
　　54  信息与计算科学                                       2         
　　2202 延边大学                               4                        
　　28  地理科学                                             2         
　　34  应用化学                                             2         
　　2308 哈尔滨医科大学                         2                        
　　14  护理学                                               2      
　　备注：要求女生身高1.60米及以上，男生身高1.70米及以上，招女生为主，只招有志愿的男生。   
　　2309 东北农业大学                          15                        
　　00  动物科学                                             5         
　　13  计算机科学与技术                                     5         
　　15  农业机械化及其自动化                                 2         
　　21  生物技术                                             2         
　　24  食品科学与工程                                       1         
　　4101 郑州大学                               1                        
　　68  应用心理学                                           1         
　　4404 华南农业大学                          23                        
　　48  植物保护                                             2         
　　50  植物保护(微生物工程)                               2         
　　58  农学(农产品标准化与贸易)                           3         
　　64  茶学                                                 2         
　　71  林学                                                 1         
　　76  动物医学(含小动物疾病防治)                         1         
　　79  动物科学(动物营养与饲料科学)                       7         
　　80  水产养殖学                                           1         
　　81  蚕学(蚕业资源与生物技术)                           2         
　　82  动物生物技术                                         2         
　　4501 广西大学                              12                        
　　28  林产化工                                             2         
　　40  安全工程                                             1         
　　53  农学                                                 2         
　　55  植物保护                                             3         
　　57  动物科学                                             3         
　　60  林学                                                 1         
　　5105 西南科技大学                          77                        
　　08  环境工程                                             7         
　　15  计算机科学与技术                                     7         
　　16  软件工程                                            11         
　　18  应用化学                                            10         
　　19  材料物理                                             4         
　　22  过程装备与控制工程                                   5         
　　26  生物技术                                             7         
　　40  信息与计算科学                                       2         
　　52  法学                                                 3         
　　57  信息对抗技术                                         9         
　　59  辐射防护与环境工程                                  12         
　　5118 川北医学院                             4                        
　　01  医学影像学                                           4         
　　6301 青海大学                               7                        
　　14  林学                                                 2         
　　20  化学工程与工艺                                       1         
　　21  化学工程与工艺(精细化工方向)                         1         
　　23  环境工程                                             1         
　　56  农业水利工程                                         2         
　　6501 新疆大学                              19                        
　　1B  软件工程                                             2         
　　81  化学工程与工艺                                       1         
　　92  过程装备与控制工程                                   3         
　　A3  生物工程                                             3         
　　BC  计算机科学与技术                                     1         
　　C1  通信工程                                             2         
　　C9  信息安全                                             2         
　　D7  测绘工程                                             3         
　　F2  自动化                                               2    

