2010上海普通高校招生一本批次各校投档分数线
　　文科院校全称 最低分 语文 外语 数学 综合
　　复旦大学 526 113 135 134 22
　　上海交通大学 521 118 134 126 22
　　同济大学 493 114 122 124 19
　　华东师范大学 500 111 123 126 24
　　华东理工大学 470 93 120 114 21
　　东华大学 481 103 124 123 19
　　上海财经大学 509 104 135 127 22
　　上海外国语大学 501 112 133 124 22
　　上海海事大学 481 92 124 130 19
　　上海理工大学 464 87 117 133 20
　　华东政法大学 483 103 133 119 18
　　上海对外贸易学院 492 113 112 129 23
　　上海音乐学院 465 106 104 119 21
　　上海大学 474 104 113 126 22
　　上海中医药大学 473 99 126 124 17
　　上海师范大学 468 102 127 109 19
　　理科院校全称 最低分 数学 外语 语文 综合
　　复旦大学 526 114 130 125 23
　　上海交通大学 524 132 124 113 21
　　同济大学 509 133 124 106 20
　　华东师范大学 498 128 123 106 20
　　华东理工大学 486 117 119 103 22
　　东华大学 473 109 121 104 25
　　上海财经大学 507 122 126 107 25
　　上海外国语大学 495 117 130 109 18
　　上海海事大学 474 109 131 110 17
　　上海理工大学 465 90 137 113 17
　　华东政法大学 482 108 121 114 22
　　上海对外贸易学院 489 120 116 108 19
　　上海海洋大学 465 96 122 109 21
　　上海音乐学院 468 120 108 99 19
　　上海大学 472 102 117 105 21
　　上海交通大学医学院 497 117 125 103 22
　　上海中医药大学 478 111 121 101 23
　　上海师范大学 468 114 126 104 15
　　部分外省市院校投档线
　　文科院校全称 最低分 语文 外语 数学 综合
　　中国人民大学 519 104 123 132 24
　　中央财经大学 495 106 117 133 21
　　对外经济贸易大学 501 100 114 130 21
　　中国传媒大学 492 105 125 133 22
　　北京外国语大学 496 111 127 118 23
　　南京大学 505 108 124 135 22
　　苏州大学 473 103 126 113 19
　　中山大学 487 105 112 136 21
　　厦门大学 497 115 123 129 20
　　理科院校全称 最低分 语文 外语 数学 综合
　　中国人民大学 519 120 138 107 22
　　中央财经大学 498 126 126 110 22
　　对外经济贸易大学 496 117 125 113 23
　　中国传媒大学 471 119 115 108 20
　　北京外国语大学 499 129 131 96 22
　　南开大学 499 127 130 99 18
　　苏州大学 468 120 108 98 22
　　浙江大学 511 133 125 110 21
　　中国科学技术大学 504 112 131 111 25
　　中山大学 490 136 127 101 16


