安徽2009各考研报考点地址与联系电话
　　报考点           报考点地址        联系电话
　　3401 合肥市招办    合肥市金寨路322号     0551-2838908
　　3402 芜湖市招办    芜湖市吉和街188号     0553-3884571
　　3403 蚌埠市招办    蚌埠市胜利路152号     0552-4035420
　　3404 淮南市招办    淮南市陈洞路西2号     0554-6644221
　　3405 马鞍山市招办  马鞍山市电大内        0555-8324772
　　3406 淮北市招办    淮北市洪山路教育局内  0561-3880448
　　3407 铜陵市招办    铜陵市义安北路42号    0562-2814045
　　3408 安庆市招办    安庆市人民路366号     0556-5514256
　　3410 黄山市招办    黄山市延安路83号      0559-2512968
　　3411 滁州市招办    滁州市琅琊东路27号    0550-3023754
　　3412 阜阳市招办    阜阳市胜利北路71号    0558-2264092
　　3413 亳州市招办    亳州市工业学校内      0558-5125181
　　3422 宿州市招办    宿州市环城北路1号     0557-3924511
　　3424 六安市招办    六安市皋城中学内      0564-3341990
　　3425 宣城市招办    宣州市鳌峰东路23号    0563-3032533
　　3426 巢湖市招办    巢湖市巢湖路274号     0565-2314994
　　3429 池州市招办    池州市九华路2号       0566-2317818
　　3457 安徽大学      经济开发区九龙路111号  0551-3861053
　　3458 中国科技大学  合肥市金寨路96号       0551-3606625
　　3459 合肥工业大学  合肥市屯溪路193号      0551-2901228
    更多信息请访问：新浪考研频道 考研论坛 考研博客圈
　　特别说明：由于各方面情况的不断调整与变化，新浪网所提供的所有考试信息仅供参考，敬请考生以权威部门公布的正式信息为准。

