广东省2011年普通高校录取工作日程表
　　新浪教育(微博)讯 广东省2011年普通高校录取工作日程表公布，详见：
　　日期               工作内容
　　7月7日-7月9日      文理类提前第一批本科录取院校报到及进行网上录取
　　7月9日-7月11日     文理类提前第二批本科录取院校报到及进行网上录取
　　7月10日-7月19日    文理类第一批本科录取院校报到及进行网上录取
　　7月20日-7月28日                                    文理类第二批A类本科录取院校报到及进行网上录取
　　7月29日-8月4日                                     文理类第二批B类本科录取院校报到及进行网上录取
　　8月5日-8月7日                                      提前3A及3+证书院校报到及进行网上录取
　　8月8日-8月15日                                     文理类第三批A类专科录取院校报到及进行网上录取
　　8月16日-8月23日                                    文理类第三批B类专科录取院校报到及进行网上录取
　　注：以上日程如有变动，以录取期间公布的日程为准。

