日本游戏期待榜公布 日系作品大受追捧
　　根据日本大型游戏网站4gamer的最新关注游戏排名显示，本周网游数量仍没有回升趋势，一些日本原产作品更受期待。作为日本国民级游戏之一的《勇者斗恶龙》系列首款网游作品《勇者斗恶龙10：觉醒的五种族》本周高调入榜。此外，不久前才刚刚结束了韩服运营的《怪物猎人OL》也回归榜单。另外，经典游戏《旺达与巨像》的PS3复刻版也出现在榜单之中。
　　游戏名(平台/国内代理)                                           评分
　　1.暗黑之魂(PS3)                                                    10
　　2.勇者斗恶龙10：觉醒的五种族(Wii)                                  10
　　3.战地3(PC)                                                        10
　　4.武装神姬：战斗大师Mk.2(PSP)                                      10
　　5.TERA                                                             10
　　6.怪物猎人OL                                                       10
　　7.旺达与巨像(PS3)                                                   9
　　8.天启之王(PSV)                                                     9
　　9.超级街霸4街机版(PC)                                               8
　　10.偶像大师2(PS3)                                                   7
 

