网游厂商国庆促销：充值、送道具居多
　　9月30日消息 据了解，国庆七天长假，众多游戏厂商瞄准了这一时机，纷纷推出各种的活动来吸引游戏玩家。根据针对游戏厂商十一假期活动的调查结果显示，占据国庆假期活动主流的仍然是充值送礼、道具促销等“实惠”消费活动，网页游戏这方面尤为突出；其次是多倍经验、节日道具赠送等。在调查中，多数厂商尤其是儿童网游均表示对假期市场的看好。此外，也有部分较知名的游戏并没有针对十一假期举行活动。(完)
　　附：国内部分主流网游十一国庆假期活动
　　运营商         游戏 活动 专题
　　搜狐畅游 天龙八部 新开服务器 无
　　搜狐畅游 中华英雄 多倍经验 无
　　光宇华夏 问道 充值送、经验道具等 有
　　广州百游汇 倾国倾城 充值送、经验道具等 有
　　金山游戏 剑网三 “英雄结义”获时长 无
　　金山游戏 封神榜 女娲赐福(道具和经验) 无
　　第九城市 奇迹世界 登陆送礼多倍经验 有
　　第九城市 FIFAOnline2 道具促销、经验等 有
　　第九城市 名将三国 兑换道具等 有
　　第九城市 王者世界 充值送、经验等 无
　　第九城市 商业大亨(页) 道具等 有
　　第九城市 热血三国 道具促销等 有
　　久游网络        劲舞团         双倍经验 有
　　巨人网络 巨人 送经验、阅兵 无
　　巨人网络 征途 “国庆”喜乐会 无
　　巨人网络 绿色征途 11重惊喜连连送 无
　　巨人网络 万王之王3 礼包经验 有
　　巨人网络 热血征途 国庆“狂欢节” 无
　　巨人网络 仙途 答题赢赠点 无
　　巨人网络 龙魂 六重活动 有
　　蓝港在线 西游记 充值送 无
　　绿岸网络 蜀门OL 增加活动(经验值) 无
　　绿岸网络 醉逍遥 增加活动(经验值) 无
　　麒麟游戏 成吉思汗2 充值送 无
　　起凡游戏 三国争霸 充值送、抽奖等 无
　　盛大网络 飞天西游(页) 充值送礼 无
　　盛大网络 魔塔世界(页) 送道具含促销 无
　　盛大网络 魔力学堂(页) 充值送礼及经验道具活动 无
　　盛大游戏 龙之谷 道具兑换等八大活动 有
　　盛大游戏 魔界 充值送及各种经验道具活动 无
　　盛大游戏 传奇世界 比拼道具消费值活动 无
　　盛大游戏 永恒之塔 道具促销 无
　　盛大游戏 冒险岛 经验双倍送道具含道具促销 有
　　盛大游戏 彩虹岛 道具促销 有
　　盛大游戏 超级跑跑 兑换等活动 有
　　世纪天成 跑跑卡丁车 道具加实物 有
　　世纪天成 Csonline 银行卡充值低折扣 无
　　腾讯     AVA 官网商城买一送一和抽奖 有
　　腾讯     地下城与勇士 经验大放送 有
　　腾讯            穿越火线 国庆大练兵 有
　　腾讯         寻仙 多倍经验在线送礼 无
　　腾讯         大明龙权 开放新服 无
　　腾讯        QQ幻想世界 送经验道具礼包等 有
　　腾讯        QQ华夏 国庆礼包和睿智爱国者 有
　　腾讯        QQ炫舞 送点券经验 无
　　腾讯        QQ飞车 送点券经验 无
　　腾讯        丝路英雄(页) 充一送一经验翻倍 无
　　腾讯        烽火战国(页) 充值返点送礼包 有
　　完美时空 诛仙2 道具等 有
　　完美时空 神鬼传奇 道具等 有
　　网龙        梦幻迪士尼 游戏内活动获经验等 无
　　网龙         魔域 双倍经验、道具 无
　　网龙         所有游戏 各种活动 有
　　网易         梦幻西游 周边商城改版8折起 无
　　网易         大话西游3 御前科举活动得神兽 无
　　网易         大唐无双 多倍经验在线抽奖 无
　　武神世纪 武神 经验声望翻倍 无
　　中华网游戏 热血江湖 兑换道具 有
　　中华网游戏 神泣 道具促销、经验等 无
　　中青宝         抗战OL 充值送礼以及各种经验道具活动 无
　　中青宝         绝地战争(页) 七项活动含充值送 有
　　中青宝         亮剑 充值送 无

