本周日本游戏期待榜公布 大量网游上榜
　　根据日本大型游戏网站4gamer的最新关注游戏排名显示，本周大量网游上榜，《TERA》本周击败了日本原产网游《巫术OL》，另外已经展开公测的韩产网游《七魂》也重回榜单。由完美世界所开发的网游《神魔大陆》也出现在榜单之中。
　　游戏名(平台/国内代理)                                             评分
　　1.TERA                                                               10
　　2.巫术OL                                                             10
　　3.七魂OL                                                             10
　　4.纸箱战机PSP)                                                       10
　　5.Forsaken World神魔大陆 (完美世界)                                  10
　　6.最终幻想13-2(PS3)                                                  10
　　7.梅露露的工作室～阿兰德的炼金术士3～(PS3)                           10
　　8.鬼哭街(PC)                                                         10
　　8. 现代战争3(PC)                                                     10
　　10.龙之谷(盛大)                                                       9
 

