本周日本游戏期待榜公布 网游数量锐减
　　根据日本大型游戏网站4gamer的最新关注游戏排名显示，本周网游数量大幅度缩水，除了公测中的《TERA》和刚刚公布不久的《C9》，就再无网网游登场。相比之下，单机游戏却百花齐放，涵盖了各种平台及游戏类型。
　　游戏名(平台/国内代理)                                               评分
　　1.TERA                                                                 10
　　2.第九大陆(腾讯)                                                       10
　　3.心之彼端2 迷宫旅人(PSP)                                               9
　　4.机动战士高达新基连的野望(PSP)                                         8
　　5.装甲核心V(PS3)                                                        8
　　6.New爱相随(3DS)                                                        7
　　7.实况力量职业棒球2011(PS3)                                             7
　　8.无尽传说：Tales of Xillia(PC)                                         7
　　9.黑色洛城(PC)                                                          7
　　10.死亡之岛日语版(PS3)                                                  7.

