日本游戏期待榜 《洛奇英雄传》上榜
　　根据日本大型游戏网站4gamer的最新关注游戏排名显示，本周有一定数量的网游回归，首先，公布了在日服测试时间的动作网游《洛奇英雄传》回归榜单，暂居第二。此外，公布了重置计划的《最终幻想14》也出现在榜单之中。随着暴雪嘉年华的召开，《暗黑破坏神3》也再度回归榜单。
　　游戏名(平台/国内代理)                                             评分
　　1.战地3(PC)                                                          10
　　2.洛奇英雄传(世纪天成)                                               10
　　3.跨过俺的尸体(PSP)                                                  10
　　4.机动战士高达 EXTREME VS (PSP)                                      10
　　5.巫术OL                                                             10
　　6.偶像大师2(PS3)                                                     10
　　7.最终幻想14(盛大)                                                   10
　　8.剑魂V(PS3)                                                         10
　　9.TERA                                                               10
　　10.暗黑破坏神3(网易)                                                 10
　　声明：新浪网游戏频道登载此文出于传递信息之目的，绝不意味着新浪公司赞同其观点或证实其描述。

