《暗黑破坏神3》空降日本游戏期待榜
　　根据日本大型游戏网站4gamer的最新关注游戏排名显示，依旧由《TERA》占据榜首位置，该作今天正式宣布公测，另外游戏之前透露的激活费用相当惊人。随着《暗黑破坏神3》的资料上周进一步曝光，本作也空降到期待榜第二位，暴雪的魔力在日本也可见一斑。本周网友数量缩水，上榜几款网游均为韩产，看来日本本土游戏仍围绕着巨大的单机市场前景运作。
　　游戏名(平台/国内代理)                                              评分
　　1.TERA                                                                10
　　2.最终幻想零式(PSP)                                                   10
　　3.暗黑破坏神3(PC)                                                     10
　　4.Elminage 3：暗黑使徒与太阳(PSP)                                     10
　　5.超级街霸4街机版(PC)                                                 10
　　6.圣魂OL                                                              10
　　7.怪物猎人3rd(PSP)                                                    10
　　8.怪物猎人3rd高清版(PS3)                                               8
　　9.洛奇英雄传(世纪天成)                                                 8
　　10.恶魔幸存者2                                                         8

