《TERA》领衔榜单 日本游戏期待榜公布
　　根据日本大型游戏网站4gamer的最新关注游戏排名显示，本周依旧由《TERA》占领榜单首位，该作在日本公测报名活动开始后24小时内就有5万多人参与，这在家用机称霸市场的日本是不可想象的佳绩。《最终幻想14》重新回归榜单。
　　游戏名(平台/国内代理)                                              评分
　　1.TERA                                                                10
　　2.最终幻想14                                                          10
　　3.巫术OL                                                              10
　　4.ToHeart2 迷宫旅人(PSP)                                              10
　　5.超级街霸4街机版(PS3)                                                10
　　6.武装神?BATTLE MASTERS Mk.2(PSP)                                     9
　　7.龙之谷(盛大)                                                         9
　　8.NEW LOVE PLUS(3DS)                                                   9
　　9. 纸箱战机(PSP)                                                       9
　　10.梅露露的工作室～阿兰德的炼金术士3～(PS3)                            9
 

