日本游戏排行榜公布《神鬼世界》上榜
　　根据日本大型游戏网站4gamer的最新关注游戏排名显示，依旧由《TERA》占据榜首位置。本周有数量较多的PC游戏登陆期待榜，随着次世代主机性能的挖掘，欧美系的游戏凭借优质的画面逐渐撬开了日本国门，此外，C9再次回归榜单。值得一提的是，由北京完美时空所开发的《神鬼世界》的日服版登陆榜单。
　　游戏名(平台/国内代理)                                              评分
　　1.TERA                                                                10
　　2.魔法少女小圆(PSP)                                                   10
　　3.最终幻想零式(PSP)                                                   10
　　4.巫师2刺客之王日语版(PC)                                             10
　　5.战地3(PC)                                                            9
　　6.怪物猎人日记：暖洋洋的猫猫村(PSP)                                    8
　　7.C9(腾讯)                                                             7
　　8.使命召唤：现代战争3(PC)                                              6
　　9.极度混乱(MAX ANARCHY)(PS3)                                           6
　　10.神鬼世界(完美时空)                                                  6

