体坛周报安然：蓝军稳胆红军防冷 拜仁强势回正路
　　点击进入：体坛周报安然足彩分析推荐专栏
　　本周六的足彩继续是英德组合，英超中曼联、切尔西两强坐镇主场，而对手的实力与他们都相差不小，博彩公司对这两场比赛的初盘也都开的较深，应当说是作胆的好选择，尤其是切尔西爆冷的可能性几乎为0。阿森纳和利物浦两强客场作战，但是他们的前景却各不相同，阿森纳的对手斯托克各方面都很弱，而且对付这类球队阿森纳很有心得，获胜问题不大。利物浦虽然开局强势，但是做客热刺还是颇有困难，热刺近期状态回勇，而且又更换了教练，还是要防冷门的出现。
　　德甲方面，拜仁主场对阵保级球队比勒菲，克林斯曼的球队正逐步走上正轨，本场也是做胆的选材之一。其他场次中霍芬海和斯图加主场作战优势较大，双选不败应该可以确保过关，而汉堡和沙尔克两强则需要有所防范。意甲中国米已经两场不胜，本轮对阵靠后的雷吉纳是个反弹的良机，虽然要考虑下周中的冠军联赛，但是兵多将广的他们应付起来问题不大。
　　1 曼联vs赫尔城：3
　　2 斯托克vs阿森纳：0
　　3 朴次茅vs维冈：10
　　4 切尔西vs桑德兰 3
　　5 西布朗vs布莱克 10
　　6 米德尔vs西汉姆 30
　　7 热刺vs利物浦 10
　　8 拜仁vs比勒菲 3
　　9 斯图加vs科隆 31
　　10 汉诺威vs汉堡 30
　　11 科特布vs沙尔克 10
　　12 霍芬海vs卡尔斯 31
　　13 不来梅vs赫塔 3

