CCTV贺炜足彩火线：赫塔菲做稳胆 维尔瓦主场翻船
　　注：体坛网独家资讯，除合作伙伴新浪外,谢绝其余媒体转载。
　　卡尔德隆下课了，他的下台是迟早的事情，但是他的下台又不能一下子解决皇马目前的问题，可以这样说：在下一位具有绝对控制能力和控制欲望，拥有对这支球队绝对的热爱和忠诚，并且拥有大众情感普遍支持的人物成为皇马主席之前，无论是卡尔德隆还是博鲁达，无论是马丁斯还是别人，都只会是一个过客，上不正则下必斜，混乱的局面还将持续一段时间。扯了几句西甲热点话题，下面是我本期为体坛网撰写的足彩推荐，欢迎大家参考。
　　01 亚特兰VS国　米  推荐：10  这场球国米应该是输不掉，最多防到平局。
　　02 卡利亚VS乌迪内  推荐：30  乌迪内斯的状态很奇怪，不好把握。
　　03 切　沃VS那不勒  推荐：0  切沃本赛季实力太差，无法看好。
　　04 莱　切VS热那亚  推荐：0  热那亚攻击力非常强，莱切的防守应付不了，主场也不行。
　　05 桑普多VS巴勒莫  推荐：3  非常看好主队，他们也该取胜了。
　　06 都　灵VS罗　马  推荐：30  罗马常有冷门，都灵踢疯了攻击力会很强，双选。
　　07 卡塔尼VS博洛尼  推荐：31  主队不败，特别容易踢平。
　　08 拉齐奥VS尤　文  推荐：30  这场球有点意思，我还是担心尤文的体力问题，他们的核心球员老化。
　　09 瓦拉多VS贝蒂斯  推荐：3  单选主队，贝蒂斯防守不好，而且客场能力很一般。
　　10 赫塔菲VS桑坦德  推荐：3  看好主队取胜，他们这段时间成绩不怎么样，需要抢分。
　　11 维尔瓦VS希　洪  推荐：0  我博一个小冷，看好客队取胜。维尔瓦实力下滑严重，而且没有了气势。
　　12 马拉加VS西班牙  推荐：30  走两头，这两队都有一定攻击力，普遍问题是防守不行。
　　13 阿尔梅VS马竞技  推荐：0  看好客队，马竞能同巴萨踢得死去活来，整体实力在主队之上。

