中国互联网公司周二收盘几乎全部下跌
　　新浪科技讯 美国东部时间2月23日16:00(北京时间2月24日5:00)消息 受到利空的消费者信心数据影响，周二美国股市连续第二个交易日下跌，道指下挫百点。消费者信心指数下跌推动美元汇率再创8个月新高，与商品期货相关的股票遭受重创。中国互联网公司周二几乎全部下跌。
　　美东时间周二16:00(北京时间2月24日05:00)，道琼斯工业平均指数下跌100.97点，收于10,282.41点，跌幅 0.97%；纳斯达克综合指数下跌28.59点，收于2,213.44点，跌幅1.28%；标准普尔500指数下跌13.41点，收于1,094.60 点，跌幅1.21%。
　　中国互联网公司周二收盘几乎全部下跌。侨兴移动(Nasdaq:QXM)跌7.48%，华友世纪逆势上涨7.74%。
　　股票名称		最新价		涨跌幅
　　新浪		36.96		-2.38%
　　CRIC		9.01		-1.21%
　　网易		37.44		0.00%
　　搜狐		48.48		-2.73%
　　百度		501.7		-1.07%
　　分众传媒		14.04		-2.16%
　　盛大		46.09		-1.75%
　　盛大游戏		8.47		0.59%
　　巨人网络		7.48		0.40%
　　畅游		32.46		-1.40%
　　第九城市		6.65		-0.89%
　　完美时空		37.89		-1.43%
　　携程网		35.73		0.79%
　　金融界		7.01		-1.68%
　　艺龙		10.7		1.04%
　　前程无忧		18.71		-0.21%
　　掌上灵通		1.64		-2.38%
　　空中网		7.79		-1.64%
　　华友世纪		3.34		7.74%
　　易居中国		17.12		-2.67%
　　如家快捷		34.42		-0.92%
　　7天连锁		12.21		-1.53%
　　新东方		76.17		3.04%
　　正保远程教育		6.6		-0.30%
　　华视传媒		7.65		-1.29%
　　航美传媒		6.33		-4.17%
　　新华悦动传媒		0.66		-2.88%
　　永新视博		7.18		-1.24%
　　UT斯达康		2.15		0.94%
　　展讯通信		6.47		-0.31%
　　亚信科技		23.55		0.51%
　　中芯国际		4.8		-1.64%
　　中星微电子		4.45		-1.55%
　　炬力		2.2		-4.35%
　　侨兴环球		1.77		-5.35%
　　德信无线		2.94		-3.29%
　　无锡尚德		13.03		-0.69%
　　文思信息		17.81		0.85%
　　诺亚舟		4.15		0.48%
　　中华网		2.31		0.00%
　　CDC软件		9.72		-1.82%
　　侨兴移动		2.35		-7.48%
　　国人通信		3.26		-2.10%

