中国概念股周四午盘普涨 近20只股票涨幅超5%
　　新浪科技讯 北京时间10月7日凌晨消息，美国股市周四午盘继续上扬。中国概念股午盘普遍上涨，截至美东时间10月6日13:15(北京时间10月7日01:15)，有近20只股票涨幅超过5%。其中，土豆网大涨14.64%，当当网大涨13%。
　　美股上涨的原因是美国上周首次申请失业救济数据好于市场预期、欧洲央行表示将采取措施支持该地区银行业，提振了市场情绪。
　　周四午盘，侨兴环球大涨近12.5%，酷6传媒大涨10%。搜房网大涨9.32%。
　　美东时间10月6日12:44(北京时间10月7日00:44)，道琼斯工业平均指数上涨101.98点，报11,041.93点，涨幅0.93%；纳斯达克综合指数上涨35.91点，报2,496.42点，涨幅1.46%；标准普尔500指数上涨13.07点，报1,157.10点，涨幅1.14%。
　　股票	最新价	涨跌幅
　　新浪	79.24	3.49%
　　CRIC	4.3	0.23%
　　网易	41.08	6.42%
　　搜狐	55.21	4.76%
　　百度	119.08	7.12%
　　分众传媒	22.25	4.51%
　　盛大	34.5	6.48%
　　盛大游戏	4.22	1.93%
　　巨人网络	3.46	1.92%
　　畅游	27.63	4.42%
　　第九城市	3.09	4.32%
　　完美世界	12.35	5.07%
　　携程网	35.23	5.38%
　　金融界	1.82	0.55%
　　艺龙	16.97	2.85%
　　前程无忧	41.59	-0.69%
　　掌上灵通	0.79	2.60%
　　空中网	4.18	6.63%
　　酷6传媒	2.09	10.00%
　　易居中国	5.22	-3.33%
　　华视传媒	1.46	0.00%
　　航美传媒	2.41	-3.60%
　　UT斯达康	0.97	4.29%
　　展讯通信	19.57	2.62%
　　亚信科技	8.55	6.48%
　　中芯国际	2.38	-2.48%
　　中星微电子	1.34	2.29%
　　炬力	1.95	-1.51%
　　侨兴环球	0.78	12.75%
　　泰克飞石	1.93	3.21%
　　文思信息	8.44	6.30%
　　诺亚舟	1.58	-0.03%
　　中华网	0.42	0.00%
　　CDC软件	1.77	0.00%
　　侨兴移动	1	7.76%
　　国人通信	1.72	0.00%
　　联游网络	0.5	-4.74%
　　BCD半导体	5.29	0.00%
　　学而思	10.46	2.25%
　　学大教育	2.87	2.14%
　　正保远程教育	2.16	7.46%
　　新东方	26.11	2.71%
　　搜房网	10.32	9.32%
　　蓝汛	4.25	3.66%
　　高德软件	13.49	1.12%
　　麦考林	1.42	2.90%
　　优酷网	19.05	15.59%
　　当当网	5.57	13.04%
　　斯凯	3.74	8.51%
　　软通动力	7	3.55%
　　创博国际	2.04	1.75%
　　海辉软件	9.31	3.56%
　　奇虎360	16.98	7.40%
　　世纪互联	10.75	2.38%
　　人人公司	5.36	6.77%
　　网秦	4.25	8.70%
　　世纪佳缘	8.3	1.83%
　　凤凰新媒体	5.5	5.40%
　　淘米	5.9	7.86%
　　土豆网	14.34	14.64%

