中国互联网公司周五普涨 前程无忧大涨11%
　　新浪科技讯 北京时间4月24日凌晨消息 受利好经济数据及企业财报推动，周五美国股市收高，道指创18个月新高，纳斯达克综合指数小幅上涨。
　　纳斯达克综合指数上涨11.08点，收于2,530.15点，涨幅 0.44%；道琼斯工业平均指数上涨69.99点，收于11,204.28点，涨幅0.63%；标准普尔500指数上涨8.61点，收于1,217.28点，涨幅0.71%。
　　中国互联网公司周五收盘普涨。前程无忧(Nasdaq:JOBS)大涨11.05%，中芯国际(NYSE:SMI)大涨8.04%。
　　股票名称 最新价 涨跌幅
　　新浪  37.79	1.21%
　　CRIC 8.32	-2.69%
　　网易 36.98	1.48%
　　搜狐 53.02	2.43%
　　百度 645.76	0.89%
　　分众传媒 17.36	-1.75%
　　盛大 45.01	1.08%
　　盛大游戏 7.21	1.84%
　　巨人网络 7.81	-0.13%
　　畅游 35.23	3.40%
　　第九城市 6.79	0.59%
　　完美时空 35.14	0.26%
　　携程网 38.48	1.10%
　　金融界 7.98	-0.25%
　　艺龙 11.35	-2.41%
　　前程无忧 19.1	11.05%
　　掌上灵通 1.67	1.83%
　　空中网 7.63	-0.78%
　　华友世纪 3.39	-4.78%
　　易居中国 17.05	-0.35%
　　如家快捷 35.83	2.40%
　　7天连锁 10.69	1.04%
　　新东方 95.54	-0.73%
　　正保远程教育 5.8	-0.68%
　　华视传媒 4.7	-0.42%
　　航美传媒 6.32	1.94%
　　新华悦动传媒 0.66	-0.45%
　　永新视博 7.48	6.10%
　　UT斯达康 3.24	2.86%
　　展讯通信 6.39	0.95%
　　亚信科技 29.82	0.34%
　　中芯国际 5.91	8.04%
　　中星微电子 4.6	0.22%
　　炬力 2.39	1.27%
　　侨兴环球 	1.8	0.00%
　　德信无线 	2.57	0.00%
　　无锡尚德 	14.08	0.72%
　　文思信息 	25.56	0.24%
　　诺亚舟 	5.17	2.17%
　　中华网 	2.9	-1.36%
　　CDC软件 	10.65	-0.37%
　　侨兴移动 	2.71	-3.56%
　　国人通信 	2.69	1.13%
　　汉庭连锁酒店 	16.56	1.35%

