中国概念股周五多数上涨 10只股票涨幅超4%
　　新浪科技讯 北京时间7月23日凌晨消息 美国主要股指周五涨跌互见，AMD出色业绩刺激科技股上涨，卡特彼勒令人失望的财报给道指带来压力。中国概念股多数上涨，10只股票涨幅超4%。华视传媒大涨13.28%报2.90美元；淘米涨7.13%报14.72美元；中芯国际止跌回涨7.89%报3.28美元。
　　CRIC涨6.57%报6.97美元；网秦涨5.21%报6.80美元；世纪佳缘涨4.68%报13.86美元；酷6传媒涨4.22%报3.21美元；CDC软件涨4.05%报4.37美元；侨兴移动涨5.04%报1.46美元；文思信息涨4.62%报21.05美元；海辉软件涨4.71%报14.45美元。
　　另外，国人通信跌6.22%报2.11美元；奇虎360跌4.77%报23.56美元；中华网软件跌 4.13%报2.09美元。
　　截至收盘，道琼斯工业平均指数下跌了43.25点，收报12681.16点，跌幅为0.34%；纳斯达克综合指数上涨了24.40点，收报2858.83点，涨幅为0.86%；标准普尔500指数上涨了1.22点，收报1345.02点，涨幅为0.09%。
　　股票　最新价　涨跌幅
　　新浪　114.22　2.26%
　　CRIC　6.97　6.58%
　　网易　49.43　2.81%
　　搜狐　84.14　2.52%
　　百度　154　2.55%
　　分众传媒　33　1.88%
　　盛大　37.04　2.26%
　　盛大游戏　6.45　0.94%
　　巨人网络　7.32　0.00%
　　畅游　45.96　3.28%
　　第九城市　5.91　-1.00%
　　完美世界　20.02　-2.86%
　　携程网　44.78　1.59%
　　金融界　3.34　0.30%
　　艺龙　24.14　-1.51%
　　前程无忧　66.89　2.70%
　　掌上灵通　1.01　0.00%
　　空中网　5.25　0.00%
　　酷6传媒　3.21　4.22%
　　易居中国　8.34　-0.60%
　　华视传媒　2.9　13.28%
　　航美传媒　3.31　1.22%
　　永新视博　5.15　0.59%
　　UT斯达康　1.44　2.13%
　　展讯通信　15.15　3.13%
　　亚信科技　15.46　1.98%
　　中芯国际　3.28　7.90%
　　中星微电子　1.7　-2.30%
　　炬力　2.11　0.00%
　　侨兴环球　1.46　5.04%
　　泰克飞石　4.25　-1.62%
　　文思信息　21.05　4.62%
　　诺亚舟　2.06　-0.48%
　　中华网　2.09　-4.13%
　　CDC软件　4.37　4.05%
　　侨兴移动　2.11　1.93%
　　国人通信　2.11　-6.22%
　　联游网络　0.96　0.66%
　　BCD半导体　6.75　-0.76%
　　搜房网　21.69　-3.43%
　　蓝汛　8.41　2.06%
　　高德软件　16.12　3.34%
　　麦考林　3.47　-1.70%
　　优酷网　34.1　0.29%
　　当当网　11.2　1.45%
　　斯凯　8.4　-1.29%
　　软通动力　14.19　0.78%
　　创博国际　2.63　-0.75%
　　海辉软件　14.45　4.71%
　　奇虎360　23.56　-4.77%
　　世纪互联　13.69　-1.86%
　　人人公司　10.16　-0.68%
　　网秦　6.8　5.21%
　　世纪佳缘　13.86　4.68%
　　凤凰新媒体　10.35　3.50%
　　淘米　14.72　7.13%

