中国概念股周三几乎全线下跌：7只股票跌破10%
　　新浪科技讯 10月23日消息，因投资者担心全球经济势将恶化，美股周三大幅下跌，虽然信贷市场继续解冻信号。中国概念股周三几乎全线下跌，其中，分众传媒(跌16%)、灵通网(跌19%)、如家快捷(跌14%)、华视传媒(跌15%)、侨兴环球(跌11%)、无锡尚德(跌11%)、国人通信(跌20%)等7只股票跌幅超过10%。
　　周三收盘，道琼斯工业平均指数下跌了514.45点，报收8519.21点，跌幅为5.69%；标准普尔500指数下跌了58.27点，报收896.78点，跌幅为6.10%；纳斯达克综合指数下跌了80.93点，报收1615.75点，跌幅为4.77%。(蓝俊) 
　　股票 股价 涨跌幅 
　　新浪 30.480 -3.480% 
　　网易 22.280 2.580% 
　　搜狐 53.370 -7.780% 
　　百度 249.090 0.170% 
　　国人通信 1.29  -20.27% 
　　分众传媒 14.760 -15.800% 
　　盛大网络 27.670 -3.080% 
　　巨人网络 6.480 -0.460% 
　　第九城市 13.500 -2.390% 
　　完美时空 19.810 -2.890% 
　　携程网 29.870 -2.230% 
　　金融界 8.870 -9.400% 
　　艺龙 7.370 -0.270% 
　　前程无忧 8.100 -2.880% 
　　灵通网 0.890 -19.090% 
　　空中网 2.870 -4.970% 
　　华友世纪 2.400 0.000% 
　　易居中国 5.400 1.120% 
　　如家快捷 8.040 -14.010% 
　　新东方 59.410 -5.000% 
　　正保远程教育 4.100 6.770% 
　　华视传媒 10.050 -15.050% 
　　航美传媒 5.550 -8.570% 
　　新华财经传媒 1.170 -3.310% 
　　永新视博 7.930 -4.110% 
　　UT斯达康 2.030 -5.580% 
　　展讯通信 1.390 0.010% 
　　亚信 10.160 -5.050% 
　　中芯国际 1.060 -5.360% 
　　中星微 1.540 -1.910% 
　　珠海炬力 2.060 -3.290% 
　　侨兴环球 2.170 -11.430% 
　　德信无线 0.980 -2.970% 
　　无锡尚德 20.560 -10.610% 
　　文思信息 6.010 -5.060% 
　　诺亚舟 3.050 -4.980% 
　　深圳迈瑞 22.010 -4.590% 
　　CDC 1.420 -5.960% 

　　新浪科技讯 10月23日消息，因投资者担心全球经济势将恶化，美股周三大幅下跌，虽然信贷市场继续解冻信号。中国概念股周三几乎全线下跌，其中，分众传媒(跌16%)、灵通网(跌19%)、如家快捷(跌14%)、华视传媒(跌15%)、侨兴环球(跌11%)、无锡尚德(跌11%)、国人通信(跌20%)等7只股票跌幅超过10%。
　　周三收盘，道琼斯工业平均指数下跌了514.45点，报收8519.21点，跌幅为5.69%；标准普尔500指数下跌了58.27点，报收896.78点，跌幅为6.10%；纳斯达克综合指数下跌了80.93点，报收1615.75点，跌幅为4.77%。(蓝俊) 
　　股票 股价 涨跌幅 
　　新浪 30.480 -3.480% 
　　网易 22.280 2.580% 
　　搜狐 53.370 -7.780% 
　　百度 249.090 0.170% 
　　国人通信 1.29  -20.27% 
　　分众传媒 14.760 -15.800% 
　　盛大网络 27.670 -3.080% 
　　巨人网络 6.480 -0.460% 
　　第九城市 13.500 -2.390% 
　　完美时空 19.810 -2.890% 
　　携程网 29.870 -2.230% 
　　金融界 8.870 -9.400% 
　　艺龙 7.370 -0.270% 
　　前程无忧 8.100 -2.880% 
　　灵通网 0.890 -19.090% 
　　空中网 2.870 -4.970% 
　　华友世纪 2.400 0.000% 
　　易居中国 5.400 1.120% 
　　如家快捷 8.040 -14.010% 
　　新东方 59.410 -5.000% 
　　正保远程教育 4.100 6.770% 
　　华视传媒 10.050 -15.050% 
　　航美传媒 5.550 -8.570% 
　　新华财经传媒 1.170 -3.310% 
　　永新视博 7.930 -4.110% 
　　UT斯达康 2.030 -5.580% 
　　展讯通信 1.390 0.010% 
　　亚信 10.160 -5.050% 
　　中芯国际 1.060 -5.360% 
　　中星微 1.540 -1.910% 
　　珠海炬力 2.060 -3.290% 
　　侨兴环球 2.170 -11.430% 
　　德信无线 0.980 -2.970% 
　　无锡尚德 20.560 -10.610% 
　　文思信息 6.010 -5.060% 
　　诺亚舟 3.050 -4.980% 
　　深圳迈瑞 22.010 -4.590% 
　　CDC 1.420 -5.960% 


