中国概念股周一几乎全线下跌
　　新浪科技讯 美国东部时间9月15日(北京时间9月16日)消息，由于雷曼兄弟公司破产和美林公司被收购引发投资者对美国金融业的担忧，而AIG急需巨额融资，这些消息震动了全球的金融市场，美股在周一大幅下跌。纳斯达克综合指数下跌了81.36点，至2179.91点，跌幅为3.60%。中国概念股几乎全线下跌，其中侨兴环球大跌12.42%，跌至2.82美元，德信无线下跌9.57%，跌至1.04美元。(蓝俊) 
　　股票 股价 涨跌幅 
　　新浪 38.580 -1.330% 
　　网易 22.000 -2.570% 
　　搜狐 56.120 -8.170% 
　　百度 273.020 -3.190% 
　　分众传媒 25.250 -2.550% 
　　盛大网络 26.270 -4.020% 
　　巨人网络 7.840 0.770% 
　　第九城市 17.310 -3.670% 
　　完美时空 22.210 -5.090% 
　　携程网 39.000 -7.140% 
　　金融界 13.100 -2.670% 
　　亿龙 7.000 -1.820% 
　　前程无忧 10.830 -3.390% 
　　灵通网 1.600 3.230% 
　　空中网 4.060 -0.250% 
　　华友世纪 2.660 0.000% 
　　易居中国 8.670 -5.250% 
　　如家快捷 14.000 5.260% 
　　新东方 67.270 -1.590% 
　　正保远程教育 3.690 -5.140% 
　　华视传媒 15.000 -7.460% 
　　航美传媒 9.440 -4.160% 
　　新华财经传媒 1.540 -8.330% 
　　永新视博 8.000 -2.790% 
　　UT斯达康 2.700 -5.920% 
　　展讯通信 3.360 -8.700% 
　　亚信 9.860 -6.540% 
　　中芯国际 2.120 -4.500% 
　　中星微 2.670 -0.370% 
　　珠海炬力 2.830 -4.710% 
　　侨兴环球 2.820 -12.420% 
　　德信无线 1.040 -9.570% 
　　无锡尚德 38.610 -6.060% 
　　诺亚舟 4.450 -8.620% 
　　深圳迈瑞 34.290 -2.340% 
　　中华网投资集团 2.170 -4.410% 


