中国互联网公司周四股价多数上涨
　　新浪科技讯 北京时间6月11日凌晨消息 受中、美及欧洲等地传来的众多利好消息推动，周四美国股市大幅收高，创下5月27日以来最大涨幅。中国互联网公司周四股价多数上涨。
　　美东时间6月11日16:00(北京时间6月11日04:00)，道琼斯工业平均指数上涨273.35点，为今年第三大涨幅，收于10,172.60点，涨幅2.76%；纳斯达克综合指数上涨59.86点，收于2,218.71点，涨幅2.77%；标准普尔500指数上涨31.15点，收于1,086.84点，涨幅2.95%。
　　股票名称  	股票代码  	最新价  		涨跌幅
　　新浪 	SINA 	36.75		3.14%
　　CRIC 	CRIC 	8.31		8.49%
　　网易 	NTES 	29.91		0.78%
　　搜狐 	SOHU 	43.9		2.95%
　　百度 	BIDU 	72.63		7.76%
　　分众传媒 	FMCN 	16.18		2.40%
　　盛大 	SNDA 	43.09		1.84%
　　盛大游戏 	GAME 	5.27		5.40%
　　巨人网络 	GA 	7.15		0.42%
　　畅游 	CYOU 	29.42		5.03%
　　第九城市 	NCTY 	3.87		-1.28%
　　完美时空 	PWRD 	22.46		-0.62%
　　携程网 	CTRP 	37.17		2.42%
　　金融界 	JRJC 	7.3		2.53%
　　艺龙 	LONG 	12.86		0.55%
　　前程无忧 	JOBS 	19.91		0.30%
　　掌上灵通 	LTON 	1.37		0.00%
　　空中网 	KONG 	6.19		0.49%
　　华友世纪 	HRAY 	3.28		-2.96%
　　易居中国 	EJ 	14.19		4.88%
　　如家快捷 	HMIN 	39		4.95%
　　7天连锁 	SVN 	10.07		-2.61%
　　新东方 	EDU 	91.88		2.83%
　　正保远程教育 	DL 	4.22		-4.52%
　　华视传媒 	VISN 	2.58		1.18%
　　航美传媒 	AMCN 	4		2.56%
　　新华悦动传媒 	XSEL 	0.34		4.71%
　　永新视博 	STV 	5.72		5.54%
　　UT斯达康 	UTSI 	1.83		3.39%
　　展讯通信 	SPRD 	9.29		3.92%
　　亚信科技 	ASIA 	19.93		0.66%
　　中芯国际 	SMI 	4.31		7.75%
　　中星微电子 	VIMC 	4.93		2.49%
　　炬力 	ACTS 	2.08		1.46%
　　侨兴环球 	XING 	1.48		-1.33%
　　德信无线 	CNTF 	2.42		2.54%
　　无锡尚德 	STP 	9.6		10.73%
　　文思信息 	VIT 	21.1		1.59%
　　诺亚舟 	NED 	3.99		-0.99%
　　中华网 	CHINA 	1.93		2.66%
　　CDC软件 	CDCS 	8.06		0.25%
　　侨兴移动 	QXM 	2.46		0.41%
　　国人通信 	GRRF 	1.76		3.53%
　　汉庭连锁酒店 	HTHT 	14.1		0.14%

