财富杂志评全球最受尊敬企业：苹果三度折冠
　　新浪科技讯 北京时间3月5日早间消息，美国《财富》杂志最新评选出2009年度全球最受尊敬企业排行，苹果公司以迄今为止最大优势连续三年当选全球最受尊敬企业，其中谷歌排名第二，亚马逊排名第五。
　　此次评选共对4200名企业高管和分析师进行调查，苹果获得了第一名的投票最多，而且同第二名的差距是迄今为止优势最大的一次。在今年上榜企业中，超过半数的企业在过去10年当中都曾8次上榜。
　　全球最受尊敬企业排行榜前十名的企业依次为：1、苹果；2、Google；3、伯克希尔·哈撒韦(Berkshire Hathaway，股神巴菲特所在公司)；4、强生；5、亚马逊；6、宝洁；7、丰田汽车；8、高盛集团；9、沃尔玛集团；10、可口可乐。
　　在这次评选中，除了全球总榜单之外，《财富》杂志还评选了54个行业榜单。苹果同时成为计算机业最受尊敬的公司，惠普和EMC分别位列二三位，中国联想则位列第11位。
　　软件业最受尊敬企业排行前五分别为：1、Adobe；2、甲骨文；3、Intuit；4、赛门铁克；5、微软。
　　通讯业最受尊敬的企业排名前三依次为Verizon通讯、AT&T、沃达丰，中移动和中电信分别排名第10和第13位。
　　电子业最受尊敬企业排名前十为：1、通用电气；2、三星电子；3、艾默生；4、索尼；5、西门子；6、松下电器；7、LG电子；8、施耐德电气；9、东芝；10、飞利浦。
　　这次评选还有一点需要指出，日本丰田汽车公司位列全球最受尊敬企业排行榜第七位，主要是因为评选在丰田发布产品召回通告之前就已经结束了。
　　另外，共有2家中国企业在此次评选中上榜，分别是宝钢和国泰航空公司。参选的中国企业有18家，分别是：中国五矿集团公司、中钢集团、中国海洋石油总公司、中石油、华为、中国移动、河北钢铁、联想集团、中石化、中铁股份有限公司、中国建筑工程总公司、中国电信、中国化工集团公司、中国交通建设、中国人寿、中国航空工业集团公司、中国南方工业集团公司和中国一汽。
　　《财富》2009年度全球最受尊敬企业 前五十位名单
　　排名    公司名称
　　1    苹果
　　2    谷歌
　　3    伯克希尔·哈撒韦(Berkshire Hathaway)
　　4    强生
　　5    亚马逊
　　6    宝洁
　　7    丰田汽车
　　8    高盛集团
　　9    沃尔玛集团
　　10    可口可乐
　　11    微软
　　12    西南航空
　　13    联邦快递
　　14    麦当劳
　　15    IBM
　　16    通用电气
　　17    3M
　　18    JP摩根大通
　　19    华尔特·迪士尼
　　20    思科系统
　　21    Costco Wholesale
　　并列22    宝马
　　并列22    塔吉特公司
　　24    耐克
　　25    百事可乐
　　26    星巴克
　　27    新加坡航空
　　28    埃克森美孚
　　29    美国运通
　　30    Nordstrom
　　31    英特尔
　　32    惠普
　　33    UPS
　　34    雀巢
　　35    Caterpillar
　　36    本田汽车
　　37    Best Buy(百思买)
　　38    索尼
　　39    Wells Fargo
　　40    eBay
　　41    诺基亚
　　42    三星电子
　　43    Deere
　　44    欧莱雅
　　45    AT&T
　　46    Lowe's
　　47    General Mills
　　48    Marriott International
　　49    杜邦
　　50    大众汽车

