中国概念股周五早盘普涨
　　美东时间周五上午9:30(北京时间6月5日21:30)，道琼斯工业平均指数上涨了61.09点，至8811.33点，涨幅为0.70%；纳斯达克综合指数上涨了12.79点，至1862.81点，涨幅为0.69%，标准普尔500指数上涨了4.20点，至946.66点，涨幅为0.45%。
　　股票名称 最新价 涨跌幅
　　新浪 33.170 0.520%
　　网易 37.540 0.590%
　　搜狐 67.610 0.760%
　　百度 299.550 2.100%
　　分众传媒 8.520 -0.700%
　　盛大 63.360 0.000%
　　巨人网络 9.370 1.190%
　　畅游 39.190 -0.380%
　　第九城市 11.490 -1.030%
　　完美时空 22.140 2.030%
　　携程网 43.450 3.870%
　　金融界 12.010 -1.070%
　　艺龙 6.390 0.000%
　　前程无忧 8.920 0.790%
　　掌上灵通 2.530 1.200%
　　空中网 10.080 0.940%
　　华友世纪 2.970 -7.190%
　　易居中国 15.870 1.540%
　　如家快捷 16.950 1.560%
　　新东方 57.690 -0.760%
　　正保远程教育 6.450 2.380%
　　华视传媒 6.380 -1.390%
　　航美传媒 6.640 2.310%
　　新华悦动传媒 0.770 -1.280%
　　永新视博 9.890 2.060%
　　UT斯达康 2.310 2.120%
　　展讯通信 2.110 1.440%
　　亚信科技 21.440 0.280%
　　中芯国际 2.740 2.240%
　　中星微电子 2.020 1.000%
　　炬力 2.220 3.250%
　　侨兴环球 2.340 -3.220%
　　德信无线 2.410 0.840%
　　无锡尚德 17.730 3.140%
　　诺亚舟 4.500 0.900%
　　中华网 1.610 -1.820%

　　美东时间周五上午9:30(北京时间6月5日21:30)，道琼斯工业平均指数上涨了61.09点，至8811.33点，涨幅为0.70%；纳斯达克综合指数上涨了12.79点，至1862.81点，涨幅为0.69%，标准普尔500指数上涨了4.20点，至946.66点，涨幅为0.45%。
　　股票名称 最新价 涨跌幅
　　新浪 33.170 0.520%
　　网易 37.540 0.590%
　　搜狐 67.610 0.760%
　　百度 299.550 2.100%
　　分众传媒 8.520 -0.700%
　　盛大 63.360 0.000%
　　巨人网络 9.370 1.190%
　　畅游 39.190 -0.380%
　　第九城市 11.490 -1.030%
　　完美时空 22.140 2.030%
　　携程网 43.450 3.870%
　　金融界 12.010 -1.070%
　　艺龙 6.390 0.000%
　　前程无忧 8.920 0.790%
　　掌上灵通 2.530 1.200%
　　空中网 10.080 0.940%
　　华友世纪 2.970 -7.190%
　　易居中国 15.870 1.540%
　　如家快捷 16.950 1.560%
　　新东方 57.690 -0.760%
　　正保远程教育 6.450 2.380%
　　华视传媒 6.380 -1.390%
　　航美传媒 6.640 2.310%
　　新华悦动传媒 0.770 -1.280%
　　永新视博 9.890 2.060%
　　UT斯达康 2.310 2.120%
　　展讯通信 2.110 1.440%
　　亚信科技 21.440 0.280%
　　中芯国际 2.740 2.240%
　　中星微电子 2.020 1.000%
　　炬力 2.220 3.250%
　　侨兴环球 2.340 -3.220%
　　德信无线 2.410 0.840%
　　无锡尚德 17.730 3.140%
　　诺亚舟 4.500 0.900%
　　中华网 1.610 -1.820%


