中国概念股周二多数下跌 新华悦动传媒跌8.6%
　　新浪科技讯 北京时间9月29日凌晨消息，周二美国股市收高。并购交易消息及企业财报提升了市场信心，全美最大连锁药店沃尔格林业绩强劲增长，带领医药板块普遍上扬。中国概念股多数下跌，新华悦动传媒大跌8.61%，海辉软件和正保远程教育则分别上涨7.30%和6.6%。
　　美东时间9月28日16:00(北京时间9月29日04:00)，道琼斯工业平均指数上涨46.10点，收于10,858.14点，涨幅0.43%；纳斯达克综合指数上涨9.82点，收于2,379.59点，涨幅0.41%；标准普尔500指数上涨5.52点，收于1,147.68点，涨幅0.48%。
　　中国概念股周二多数下跌。新华悦动传媒大跌8.61%，报收于0.21美元；海辉软件和正保远程教育则分别上涨7.30%和6.6%，分别报收于26.38美元和5.33美元。
　　股票　最新价　涨跌幅
　　新浪　51.9　-0.97%
　　CRIC　11.46　-1.04%
　　网易　39.74　-0.51%
　　搜狐　59.51　-0.95%
　　百度　102.04　-1.71%
　　分众传媒　23.55　3.74%
　　盛大　38.62　-0.34%
　　盛大游戏　5.53　-1.25%
　　巨人网络　6.52　0.15%
　　畅游　28.77　-1.81%
　　第九城市　5.04　-1.56%
　　完美时空　24.94　-4.08%
　　携程网　47.77　-1.64%
　　金融界　7.13　0.42%
　　艺龙　19.94　0.20%
　　前程无忧　38.11　-0.39%
　　掌上灵通　1.4　0.00%
　　空中网　6.16　-0.32%
　　酷6传媒　4.59　-1.71%
　　易居中国　19.5　-0.51%
　　如家快捷　50.79　4.16%
　　7天连锁　17.2　0.35%
　　新东方　95.21　1.64%
　　正保远程教育　5.33　6.60%
　　华视传媒　4.39　-2.88%
　　航美传媒　4.66　-0.43%
　　新华悦动传媒　0.21　-8.61%
　　永新视博　6.9　0.44%
　　UT斯达康　2.21　-2.21%
　　展讯通信　12.9　-4.94%
　　亚信科技　19.93　-1.87%
　　中芯国际　3.55　5.03%
　　中星微电子　3.42　-0.87%
　　炬力　2　0.00%
　　侨兴环球　1.48　-1.33%
　　德信无线　3.47　-0.29%
　　无锡尚德　9.09　-0.22%
　　文思信息　32.83　1.39%
　　诺亚舟　2.66　1.53%
　　中华网　4.33　3.10%

