中国概念股周三涨跌互现 分众涨6%创52周新高
　　新浪科技讯 北京时间3月10日凌晨消息，周三美股收低。在牛市启动两周年纪念日，利比亚政局动荡仍然令市场情绪承压。中国概念股涨跌互现，新浪股价再次突破90美元；分众传媒受益于四季财报涨6.03%报29.03美元，创52周新高；当当网受首份财报影响跌4.74%报24.30美元。
　　另外，搜房网跌8.62%报18.03美元；展讯通信跌 6.04%报21.45美元；侨兴移动跌 6.73%报2.08美元；博纳影业跌 5.97%报6.30美元；斯凯网络涨 5.98%报9.39美元。
　　美东时间3月9日16:00(北京时间3月10日05:00)，道琼斯工业平均指数下跌1.29点，收于12,213.09点，跌幅0.01%；纳斯达克综合指数下跌14.05点，收于2,751.72点，跌幅0.51%；标准普尔500指数下跌1.80点，收于1,320.02点，跌幅0.14%。
　　今天是标普500指数从最低点676.53点反弹的两周年纪念日。对比2009年3月9日收盘点位，标普500指数已经上涨了约95%。这是1962年以来最为强劲的两年牛市，据Birinyi Associates资料，两年间标普500成分股的总市值增加了6.2万亿美元。
　　股票　最新价　涨跌幅
　　新浪　90.08　1.52%
　　CRIC　7.02　3.24%
　　网易　47.02　0.26%
　　搜狐　82.02　1.45%
　　百度　119.75　-0.36%
　　分众传媒　29.03　6.03%
　　盛大　44.91　0.29%
　　盛大游戏　6.98　-2.38%
　　巨人网络　7.78　-0.51%
　　畅游　35.24　-1.04%
　　第九城市　6.7　-0.18%
　　完美世界　23.06　3.37%
　　携程网　38.9　0.75%
　　金融界　5.28　2.77%
　　艺龙　13.78　0.29%
　　前程无忧　57.43　-0.47%
　　掌上灵通　1.5　-0.67%
　　空中网　9.23　4.18%
　　酷6传媒　3.02　-13.47%
　　易居中国　11.79　-2.56%
　　如家快捷　40.8　3.87%
　　7天连锁　19.22　-11.59%
　　新东方　90.99　-0.56%
　　正保远程教育　3.98　-0.25%
　　华视传媒　4.01　1.78%
　　航美传媒　5.16　-2.09%
　　永新视博　6.27　1.13%
　　UT斯达康　2.15　-1.83%
　　展讯通信　21.45　-6.04%
　　亚信科技　20.81　0.34%
　　中芯国际　3.86　-0.52%
　　中星微电子　2.91　-2.68%
　　炬力　2.49　-1.58%
　　侨兴环球　2.08　-6.73%
　　德信无线　4.39　-0.68%
　　无锡尚德　9.17　1.89%
　　文思信息　30.64　3.03%
　　诺亚舟　2.11　1.93%
　　中华网　2.75　-0.36%
　　CDC软件　6.06　1.85%
　　侨兴移动　4.21　-3.22%
　　国人通信　3.25　0.00%
　　汉庭连锁酒店　17.95　2.57%
　　大华建设　1　-3.75%
　　搜房网　18.03　-8.62%
　　蓝汛　18.35　2.06%
　　高德软件　18.25　1.61%
　　麦考林　5.92　-3.90%
　　优酷网　40.91　-7.55%
　　当当网　24.3　-4.74%
　　博纳影业　6.3　-5.97%
　　斯凯　9.39　5.98%
　　软通动力　19.99　4.66%
　　创博国际　4.84　3.42%
　　海辉软件　22.19　2.16%

