中国概念股周五普遍上涨 完美时空涨9.37%
　　新浪科技讯 北京时间6月20日凌晨消息，主要股指周五涨跌互见，油价的下跌给能源股带来压力，但券商对微软的利好评级对科技股形成支持。中国概念股周五普遍上涨。
　　美元对其它主要货币汇率走软，美元指数下跌了0.4%。
　　但美元下跌并没有导致大宗商品价格上涨。原油期货下跌了2.6%，至每桶69.55美元。原油期货在上午最高上涨近1%。
　　因今天是股票期权、股指期权、股指期货以及个股期货到期日，市场成交量有所增加。
　　截至收盘，道琼斯工业平均指数下跌了15.87点，至8539.73点，跌幅为0.19%；纳斯达克综合指数上涨了19.75点，至1827.47点，涨幅为1.09%，标准普尔500指数上涨了2.86点，至921.23点，涨幅为0.31%。
　　中国概念股周五普遍上涨，完美时空涨9.37%。
　　股票名称 最新价 涨跌幅
　　新浪 30.220 1.070%
　　网易 35.360 0.030%
　　搜狐 64.550 1.670%
　　百度 297.600 1.210%
　　分众传媒 7.430 5.390%
　　盛大 55.080 0.770%
　　巨人网络 8.370 4.100%
　　畅游 38.530 3.410%
　　第九城市 10.020 2.040%
　　完美时空 29.180 9.370%
　　携程网 43.440 1.520%
　　金融界 10.250 1.790%
　　艺龙 6.450 -1.980%
　　前程无忧 8.840 7.410%
　　掌上灵通 2.190 -0.450%
　　空中网 9.670 2.330%
　　华友世纪 3.740 0.540%
　　易居中国 16.000 9.740%
　　如家快捷 16.030 6.370%
　　新东方 63.420 -0.160%
　　正保远程教育 6.500 -1.120%
　　华视传媒 5.470 1.300%
　　航美传媒 6.650 0.610%
　　新华悦动传媒 0.790 0.000%
　　永新视博 8.520 1.190%
　　UT斯达康 1.700 1.800%
　　展讯通信 2.570 0.780%
　　亚信科技 18.940 1.830%
　　中芯国际 2.500 -1.570%
　　中星微电子 1.970 -0.510%
　　炬力 2.060 0.980%
　　侨兴环球 2.030 -0.980%
　　德信无线 2.200 -1.210%
　　无锡尚德 18.040 4.760%
　　诺亚舟 4.120 0.980%
　　中华网 1.510 -0.660%

