中国互联网上市公司周四收盘普涨
　　新浪科技讯 美国东部时间7月22日16:00(北京时间7月23日4:00)消息， 周四美国股市大幅收高，主要股指涨幅远超过昨天跌幅。一些公司盈利超出预期并调升了业绩预期，提升了市场信心。
　　截至收盘，纳斯达克综合指数上涨58.56点，收于2,245.89点，涨幅2.68%；道琼斯工业平均指数上涨201.77点，收于10,322.30点，涨幅1.99%；标准普尔500指数上涨24.08点，收于1,093.67点，涨幅2.25%。
　　中国互联网上市公司周四普涨，其中网易涨6.74%。
　　股票名称		最新价		涨跌幅
　　新浪		40.98		2.04%
　　CRIC		9.45		3.05%
　　网易		36.6		6.74%
　　搜狐		44		3.53%
　　百度		74.45		1.56%
　　分众传媒		17.2		1.24%
　　盛大		39.15		1.85%
　　盛大游戏		6.51		3.01%
　　巨人网络		6.9		1.47%
　　畅游		26.27		1.39%
　　第九城市		4.25		-0.93%
　　完美时空		23.5		1.56%
　　携程网		39.46		3.79%
　　金融界		7.87		0.25%
　　艺龙		12.36		0.49%
　　前程无忧		22.15		1.70%
　　掌上灵通		1.45		2.11%
　　空中网		6.3		0.00%
　　华友世纪		2.66		5.56%
　　易居中国		17.25		5.25%
　　如家快捷		40.64		2.45%
　　7天连锁		11		0.09%
　　新东方		95.55		0.56%
　　正保远程教育		4.73		1.28%
　　华视传媒		3.62		0.00%
　　航美传媒		3.11		2.30%
　　新华悦动传媒		0.3		1.69%
　　永新视博		5.89		1.90%
　　UT斯达康		2		4.71%
　　展讯通信		8.85		0.11%
　　亚信科技		25.63		2.85%
　　中芯国际		3.38		4.64%
　　中星微电子		4.6		0.00%
　　炬力		2.17		-0.46%
　　侨兴环球		1.7		2.72%
　　德信无线		2.95		2.08%
　　无锡尚德		10.99		4.67%
　　文思信息		26.17		2.59%
　　诺亚舟		3.4		-1.16%
　　中华网		2.14		5.42%
　　CDC软件		7.28		1.82%
　　侨兴移动		2.62		2.75%
　　国人通信		1.89		8.00%
　　汉庭连锁酒店		15.6		1.96%

