中国概念股周五涨跌互现
　　新浪科技讯 北京时间5月2日早消息，由于今日公布的经济数据与企业财报好坏参半，主要股指周五小幅上扬。中国概念股在纳斯达克涨跌互现，其中永新视博大涨30.26%。
　　当天公布的经济数据显示，美国4月份消费者信心指数和制造业指数均回升至去年9月份经济形势恶化以来的最高水平，好于华尔街此前的预期。
　　截至收盘，道琼斯工业平均指数上涨了44.29点，至8212.41点，涨幅为0.54%；纳斯达克综合指数上涨了1.90点，至1719.20点，涨幅为0.11%，标准普尔500指数上涨了4.71点，至877.52点，涨幅为0.54%。道指本周共上涨了1.7%，标准普尔500指数本周上涨1.3%，纳指本周上涨1.5%。(龚民)
　　股票 股价 涨跌幅
　　新浪 28.500 1.750%
　　网易 29.970 -0.700%
　　搜狐 56.750 8.820%
　　百度 235.610 1.160%
　　分众传媒 6.470 2.700%
　　盛大 50.200 4.960%
　　巨人网络 8.340 0.850%
　　畅游 32.150 4.550%
　　第九城市 9.350 0.320%
　　完美时空 18.110 -0.280%
　　携程网 30.930 0.030%
　　金融界 11.630 -0.850%
　　艺龙 6.480 2.860%
　　前程无忧 8.050 0.630%
　　掌上灵通 1.450 -0.680%
　　空中网 6.430 2.060%
　　华友世纪 1.980 -0.380%
　　易居中国 12.120 -2.180%
　　如家快捷 13.160 -4.500%
　　新东方 52.720 -0.490%
　　正保远程教育 5.780 -0.860%
　　华视传媒 5.450 1.490%
　　航美传媒 5.800 3.290%
　　新华悦动传媒 0.600 1.530%
　　永新视博 10.890 30.260%
　　UT斯达康 1.170 0.000%
　　展讯通信 1.510 0.670%
　　亚信科技 16.620 -0.780%
　　中芯国际 2.010 2.550%
　　中星微电子 1.800 -1.100%
　　炬力 1.850 6.320%
　　侨兴环球 1.760 2.920%
　　德信无线 1.550 -1.270%
　　无锡尚德 14.580 -2.340%
　　文思信息 7.900 -0.750%
　　诺亚舟 3.100 -1.270%
　　中华网 1.200 1.690%


