中国互联网公司周一股价多数上涨
　　新浪科技讯 北京时间3月30日凌晨消息，受能源与矿业股上涨带动，美股周一收高。美元的疲软刺激大宗商品市场走强。受此影响，中国互联网公司周一股价多数上涨。
　　截至收盘(北京时间凌晨4：00)，道琼斯工业平均指数上涨了45.50点，至10895.86点，涨幅为0.42%；纳斯达克综合指数上涨了9.23 点，至2404.36点，涨幅为0.39%；标准普尔500指数上涨了6.63点，至1173.22点，涨幅为0.57%。
　　股票名称		最新价		涨跌幅
　　新浪		38.27		0.42%
　　CRIC		9.98		3.63%
　　网易		36.74		1.30%
　　搜狐		54.28		1.06%
　　百度		603.5		1.20%
　　分众传媒		16.86		1.63%
　　盛大		44.59		0.86%
　　盛大游戏		7.37		0.68%
　　巨人网络		7.67		0.13%
　　畅游		29.89		-0.63%
　　第九城市		7		1.60%
　　完美时空		36.92		-1.20%
　　携程网		40.39		2.20%
　　金融界		7.53		0.40%
　　艺龙		11.4		-0.26%
　　前程无忧		18.01		-0.17%
　　掌上灵通		1.7		0.59%
　　空中网		8.09		0.75%
　　华友世纪		3.09		0.33%
　　易居中国		19.6		-0.41%
　　如家快捷		32.89		1.54%
　　7天连锁		10.09		1.92%
　　新东方		86.72		2.01%
　　正保远程教育		6.06		1.68%
　　华视传媒		4.72		-0.21%
　　航美传媒		5.87		0.17%
　　新华悦动传媒		0.66		-2.22%
　　永新视博		7.19		1.27%
　　UT斯达康		2.39		0.42%
　　展讯通信		5.79		0.00%
　　亚信科技		27.02		0.30%
　　中芯国际		6.06		2.19%
　　中星微电子		4.57		-0.76%
　　炬力		2.35		0.00%
　　侨兴环球		1.99		-0.50%
　　德信无线		2.75		2.61%
　　无锡尚德		14.41		1.98%
　　文思信息		22.19		1.60%
　　诺亚舟		5.29		2.32%
　　中华网		3.05		0.66%
　　CDC软件		11.32		2.26%
　　侨兴移动		2.3		2.22%
　　国人通信		4.02		4.96%

