中国互联网公司周一股价多数下跌
　　新浪科技讯 北京时间5月18日凌晨消息，周一美国股市小幅收高，盘面震荡。受此影响，中国互联网公司周一股价多数下跌。
　　美东时间5月17日16:00(北京时间5月18日04:00)，道琼斯工业平均指数上涨5.67点，报10,625.83点，涨幅0.05%；纳斯达克综合指数上涨7.38点，报2,354.23点，涨幅0.31%；标准普尔500指数上涨1.26点，报1,136.94点，涨幅0.11%。
　　股票名称	股票代码	最新价		涨跌幅
　　新浪	SINA	34.85		-0.74%
　　CRIC	CRIC	8.34		-5.33%
　　网易	NTES	32.15		-3.31%
　　搜狐	SOHU	44.89		-2.26%
　　百度	BIDU	73.18		-1.08%
　　分众传媒	FMCN	15.74		-5.29%
　　盛大	SNDA	42.43		-2.46%
　　盛大游戏	GAME	5.89		-2.64%
　　巨人网络	GA	7.25		-1.76%
　　畅游	CYOU	28.89		-4.40%
　　第九城市	NCTY	4.85		-4.15%
　　完美时空	PWRD	24.71		-24.98%
　　携程网	CTRP	37.93		-0.16%
　　金融界	JRJC	6.88		-0.72%
　　艺龙	LONG	11.5		-3.36%
　　前程无忧	JOBS	20.5		0.16%
　　掌上灵通	LTON	1.63		-2.98%
　　空中网	KONG	6.62		-1.78%
　　华友世纪	HRAY	3.24		0.93%
　　易居中国	EJ	15.12		1.68%
　　如家快捷	HMIN	36.05		-0.39%
　　7天连锁	SVN	11.87		-2.47%
　　新东方	EDU	93.54		0.79%
　　正保远程教育	DL	5.25		-0.94%
　　华视传媒	VISN	3.28		-4.37%
　　航美传媒	AMCN	4.67		-2.30%
　　新华悦动传媒	XSEL	0.4		0.00%
　　永新视博	STV	6.9		-0.29%
　　UT斯达康	UTSI	2.13		-3.62%
　　展讯通信	SPRD	8.18		-1.21%
　　亚信科技	ASIA	21.99		-5.50%
　　中芯国际	SMI	4.14		-4.39%
　　中星微电子	VIMC	4.74		0.42%
　　炬力	ACTS	2.27		0.44%
　　侨兴环球	XING	1.56		-8.77%
　　德信无线	CNTF	2.31		-1.28%
　　无锡尚德	STP	10.06		-5.27%
　　文思信息	VIT	21.7		-3.38%
　　诺亚舟	NED	4.14		2.48%
　　中华网	CHINA	2.31		0.87%
　　CDC软件	CDCS	8.89		-3.16%
　　侨兴移动	QXM	2.35		-2.89%
　　国人通信	GRRF	2.17		-4.41%
　　汉庭连锁酒店	HTHT	14.99		2.18%

