美股周四小幅上扬中国概念股涨跌互现
　　新浪科技讯 北京时间6月12日凌晨消息，因经济数据好于预期，美股周四小幅上扬，三大股指盘中均创2009年新高，标准普尔500指数已连续9个交易日站在200日均线上方。该指数50日均线在快速向上移动，当前与200日均线仅相差27个点。
　　截至收盘，道琼斯工业平均指数上涨了31.90点，至8770.92点，涨幅为0.37%；纳斯达克综合指数上涨了9.29点，至1862.37点，涨幅为0.50%，标准普尔500指数上涨了5.74点，至944.89点，涨幅为0.61%。
　　中国概念股周四涨跌互现，其中，掌上灵通受第一季度财报影响，股价大跌19.62%，报收于2.13美元。另外，新华悦动传媒今日大涨12.01%，报收于0.84美元。
　　股票 股价 涨跌幅
　　新浪 30.010 -0.170%
　　网易 36.660 -3.780%
　　搜狐 67.640 -2.340%
　　百度 300.690 0.800%
　　分众传媒 7.960 -1.360%
　　盛大 60.850 -3.900%
　　巨人网络 8.730 -2.460%
　　畅游 42.850 -2.330%
　　第九城市 11.490 -0.950%
　　完美时空 24.900 6.000%
　　携程网 46.250 -2.340%
　　金融界 11.970 -0.830%
　　艺龙 6.460 0.310%
　　前程无忧 9.000 -8.810%
　　掌上灵通 2.130 -19.620%
　　空中网 10.010 -0.100%
　　华友世纪 3.870 1.840%
　　易居中国 16.740 3.270%
　　如家快捷 17.470 -0.630%
　　新东方 60.870 -0.430%
　　正保远程教育 6.520 1.240%
　　华视传媒 6.270 -1.880%
　　航美传媒 7.000 -5.660%
　　新华悦动传媒 0.840 12.010%
　　永新视博 9.960 -2.160%
　　UT斯达康 2.150 6.440%
　　展讯通信 2.850 -5.630%
　　亚信科技 21.480 1.610%
　　中芯国际 2.840 -0.700%
　　中星微电子 1.980 -1.000%
　　炬力 2.150 -4.870%
　　侨兴环球 2.350 -0.420%
　　德信无线 2.530 -3.800%
　　无锡尚德 19.130 -1.900%
　　诺亚舟 4.000 -2.910%
　　中华网 1.610 4.550%


