银行短信通知业务利润高达20-40倍 月进账过亿 
　　新快报记者 罗率  实习生 周少杰
　　“您的卡号为XX的账号于17时25分，在XX支出600元，详情请查询XX银行。”这样的手机短信时下很受欢迎。目前，为了保证持卡人的用卡安全，多数银行都提供短信通知业务，将账户变动情况通过短信等形式通知持卡人。
　　记者独家调查发现，在银行对用户收取看似不起眼的每月三四元的服务费中，其实暗藏着惊人的利润，这项业务的利润率高达20—40倍。仅此一项服务银行每月便可进账上亿元。
　　银行收费：2-4元/月不等
　　银行的短信通知服务能在客户账户余额出现变动后迅速通知，特别是当持卡人不小心丢失银行卡，或出现银行卡被盗刷等情况时，持卡人能马上获知，并能紧急挂失，从而减少损失，因此多数持卡人对这一业务都持肯定态度。据记者随机采访的银行卡用户中，大约有一半的人开通了此项服务。“现在盗卡、盗刷的现象比较严重，有短信通知就放心一些”。一位开通了短信通知服务的持卡人说。
　　记者调查发现，广州各家银行对短信通知的收费都不一样，一般每个月收2—4元不等，也有部分银行采取免费的做法。
　　据了解，各家银行会根据持卡人持卡种类和消费金额的不同而进行不同的收费。以借记卡为例，最贵的中行、建行、中信和光大每月收费都为3元，工行农行每月收费为2元，兴业银行为每月1元；深发展、招商银行、交行等则为免费。如果是信用卡的话，则以中信银行最贵，为48元/年，建行交行等为每月3元，深发展、招商银行、工商银行等为免费。有的银行信用卡短信通知收费则根据一次性消费的金额而有不同，比如建设银行一次性消费在500元以上的就可以免费通知，否则就是每月收取3元。
　　据业内人士告诉记者，由于监管部门对银行短信费收取并没有明确规定，因此造成了不同银行之间收费标准差异较大。短信通知服务最高的每年收取48元，是普通储蓄卡年费的四倍左右。
　　用户成本：0.1—0.2元/月
　　据移动通讯运营商相关部门的人士告诉新快报记者，银行发送短信的成本实际上并不高。通常来说，银行会选择和移动运营商合作的形式，然后再对收入做一定的分成，不同银行同运营商合作时分成比例也有不同，通常会由银行拿分成的大头。由于银行业务的特殊性，运营商会提供专门的端口，并保证发送的安全性和可送达性。由于采用固定的端口进行短信发送，成本要比普通用户的短信收费便宜很多，加之银行个人用户每个月账户变动并不是很多，许多用户收到的短信通知不足十条，算起来的话每个用户银行每月的短信发送成本通常只有0.1—0.2元，如果月收费达到4元的话，利润率有20—40倍。即使除掉和移动运营商的分成，银行的利润仍然不菲。
　　以建设银行为例，根据公开统计资料显示，截至2009年7月1日，该行借记卡和信用卡的发卡量达3.2亿张。如果只有40%的用户开通了短信通知服务，每月收费3元，那么仅此一项建行每月的利润就有3亿元左右；而同期中行的发卡量为1.56亿张，按照40%的用户开通率，每月3元的收费计算，一个月的收入则有1.87亿元；同期工行借计卡的发卡量为2.21亿张，按40%开通率，每月2元的收费计算，月利润达1.76亿元。
　　用户质疑：包月收费不合理
　　有用户表示，目前的包月收费不甚合理，因为一旦持卡人开通短信通知业务，无论当月是否消费，费用都是照收不误的。“如果按条来收费就更加合理一些。”一位受访者说。还有的用户则表示，这项服务应属于赠送服务，给予免费，因为毕竟银行卡本身就收取年费，这项服务应计入年费的服务项目内，更何况目前有些银行对这项服务都是免费的。
　　广州各家银行短信通知收费一览
　　银行  借记卡(每月)           信用卡(每月)
　　工行  2元              免费
　　农行  2 元              透支免息卡免费、存贷信用卡2元
　　中行  3元              3元
　　建行  3元              3元(消费500元以上免费)
　　交行  免费             4元(余额变动)3元(还款提醒)
　　招行  暂时免费            免费
　　深发展  免费             免费
　　光大  3元(优惠期免费)          免费
　　华夏  暂时免费            免费
　　中信  3 元              200元以上免费、套餐48元/年(可按季制定)
　　兴业  1元(开通手机银行且每月登陆可减免下个月1 元收费)  金卡免费、普卡3元
　　民生  暂时免费(一次性收取2元手续费)      未知(不是客户打听不到，或者你删了这家的)
　　广发展  未推出(6月推出，预约可享受2010年全年免费)   3元(300元以上免费)
　　渣打  仅汇款功能免费           未推出
　　汇丰  免费             未推出

