中国互联网公司周三涨跌互现
　　新浪科技讯 北京时间1月7日早间消息，美股主要股指周三收盘涨跌互见，今日公布的经济数据好坏参半，美联储最新会议纪要显示货币政策制定者之间存在分歧。中国互联网公司涨跌互现。
　　截至收盘，道琼斯工业平均指数上涨了1.66点，至10573.68点，涨幅为0.02%；纳斯达克综合指数下跌了7.62点，至2301.09点，跌幅为0.33%；标准普尔500指数上涨了0.62点，至1137.14点，涨幅为0.05%。中国互联网公司涨跌互现，股价普遍变化幅度不大。
　　股票名称	股票代码	最新价	涨跌幅
　　新浪	SINA	46	-0.45%
　　CRIC	CRIC	10.72	0.19%
　　网易	NTES	41.9	0.12%
　　搜狐	SOHU	59.68	-0.17%
　　百度	BIDU	412.36	1.59%
　　分众传媒	FMCN	17.13	-0.98%
　　盛大	SNDA	56.91	1.97%
　　盛大游戏	GAME	10.9	2.06%
　　巨人网络	GA	7.47	2.47%
　　畅游	CYOU	35.52	0.77%
　　第九城市	NCTY	8.22	2.11%
　　完美时空	PWRD	44.21	1.40%
　　携程网	CTRP	74.93	-2.12%
　　金融界	JRJC	7.6	-0.91%
　　艺龙	LONG	11.11	1.00%
　　前程无忧	JOBS	18.44	0.77%
　　掌上灵通	LTON	1.84	2.23%
　　空中网	KONG	13.24	0.91%
　　华友世纪	HRAY	4.29	-3.82%
　　易居中国	EJ	19.08	0.42%
　　如家快捷	HMIN	38.55	-0.98%
　　7天连锁	SVN	13.5	-1.46%
　　新东方	EDU	78.66	2.61%
　　正保远程教育	DL	6.68	-3.88%
　　华视传媒	VISN	11.63	-1.11%
　　航美传媒	AMCN	8.55	1.42%
　　新华悦动传媒	XSEL	0.76	-9.64%
　　永新视博	STV	6.9	1.92%
　　UT斯达康	UTSI	2.26	0.44%
　　展讯通信	SPRD	5.5	-0.90%
　　亚信科技	ASIA	28.68	-0.69%
　　中芯国际	SMI	3.74	2.75%
　　中星微电子	VIMC	4.85	-0.61%
　　炬力	ACTS	2.42	-1.22%
　　侨兴环球	XING	2.29	0.44%
　　德信无线	CNTF	3.45	0.00%
　　无锡尚德	STP	18.29	-0.60%
　　文思信息	VIT	20.86	4.40%
　　诺亚舟	NED	4.96	1.22%
　　中华网	CHINA	2.58	1.57%
　　CDC软件	CDCS	11.15	-0.89%
　　侨兴移动	QXM	3.72	-3.38%
　　国人通信	GRRF	4.14	10.40%

