中国概念股周一收盘涨跌互现
　　新浪科技讯 北京时间12月30日消息，因油价上涨给消费品相关股票带来压力，美股周一低收，但主要股指收盘时均远离了盘中低点。中国概念股周一收盘涨跌互现。
　　道琼斯工业平均指数下跌了31.62点，至8483.93点，跌幅为0.37%。标准普尔500指数下跌了3.38点，至869.42点，跌幅为0.39%；纳斯达克综合指数下跌了19.92点，至1510.32点，跌幅为1.30%。
　　受大盘影响，中国概念股周一收盘涨跌互现。其中，中芯国际(Nasdaq:SMI)涨16.57%。 
　　股票名称 股价 涨跌幅 
　　新浪 23.070 -3.070% 
　　网易 21.500 3.760% 
　　搜狐 44.960 2.930% 
　　百度 121.850 -1.650% 
　　分众传媒 8.700 -1.020% 
　　盛大网络 30.150 -0.400% 
　　巨人网络 6.050 0.170% 
　　第九城市 12.970 -0.920% 
　　完美时空 16.590 6.690% 
　　携程网 21.510 2.480% 
　　金融界 6.970 -5.560% 
　　艺龙 7.150 0.140% 
　　前程无忧 6.360 -2.000% 
　　灵通网 1.130 -5.040% 
　　空中网 3.230 -8.500% 
　　华友世纪 1.950 -0.510% 
　　易居中国 7.630 -1.420% 
　　如家快捷 8.490 -2.080% 
　　新东方 51.360 -0.640% 
　　正保远程教育 3.740 -1.580% 
　　华视传媒 5.250 5.000% 
　　航美传媒 4.190 5.540% 
　　新华财经传媒 0.550 1.810% 
　　永新视博 7.210 -1.500% 
　　UT斯达康 1.690 2.420% 
　　展讯通信 0.830 5.060% 
　　亚信 11.110 -3.050% 
　　中芯国际 2.040 16.570% 
　　中星微 1.930 1.580% 
　　珠海炬力 1.560 -3.110% 
　　侨兴环球 1.740 -3.330% 
　　德信无线 1.010 -0.980% 
　　无锡尚德 10.690 3.890% 
　　文思信息 4.610 -3.960% 
　　诺亚舟 3.000 -6.250% 


