中国概念股周五多数上涨 海辉软件大涨9.8%
　　新浪科技讯 北京时间12月18日凌晨消息，周五美国股市收盘涨跌不一，但大盘连续第三周上扬。一些科技公司的财报令人振奋，但美元走强和欧盟峰会未能出台解决近期债务危机解决方案等消息令市场承受了压力。中国概念股今日多数上涨，海辉软件因将发行500万股ADS促其股价涨9.79%。
　　另外，大华建设、酷6传媒、搜房网、蓝汛通信、高德软件等五公司今日股价涨幅均超5%。
　　本周内道指上涨了0.7%，纳指上涨了0.2%，标普500指数上涨了0.3%。
　　美东时间12月17日16:00(北京时间12月18日05:00)，道琼斯工业平均指数下跌7.27点，报11,491.98点，跌幅0.06%；纳斯达克综合指数上涨5.66点，报2,642.97点，涨幅0.21%；标准普尔500指数上涨1.02点，报1,243.89点，涨幅0.08%。
　　股票　最新价　涨跌幅
　　新浪　68.89　-1.68%
　　CRIC　9.06　1.80%
　　网易　36.36　0.36%
　　搜狐　66.06　-1.14%
　　百度　98.74　0.44%
　　分众传媒　21.92　3.25%
　　盛大　39.28　1.26%
　　盛大游戏　6.29　-1.26%
　　巨人网络　6.88　3.77%
　　畅游　28.18　0.64%
　　第九城市　6.28　1.13%
　　完美时空　23.05　2.95%
　　携程网　41.08　0.76%
　　金融界　6.99　-2.10%
　　艺龙　17.81　0.28%
　　前程无忧　49.51　0.57%
　　掌上灵通　1.65　0.61%
　　空中网　6.91　0.58%
　　酷6传媒　5.56　7.54%
　　易居中国　14.02　1.89%
　　如家快捷　42.21　1.20%
　　7天连锁　20.87　-0.14%
　　新东方　109.62　3.39%
　　正保远程教育　4.08　-2.39%
　　华视传媒　3.95　2.33%
　　航美传媒　6.29　2.61%
　　新华悦动传媒　0.2　7.84%
　　永新视博　9.21　4.90%
　　UT斯达康　1.96　2.08%
　　展讯通信　18　3.81%
　　亚信科技　16.51　0.73%
　　中芯国际　3.72　2.20%
　　中星微电子　3.52　3.23%
　　炬力　2.11　0.00%
　　侨兴环球　1.77　-1.12%
　　德信无线　3.83　-1.29%
　　无锡尚德　8.23　1.11%
　　文思信息　34.91　1.84%
　　诺亚舟　2.04　2.51%
　　中华网　3.26　1.88%
　　CDC软件　5.9　1.55%
　　侨兴移动　3.5　-1.41%
　　国人通信　2.8　-1.75%
　　汉庭连锁酒店　20.62　0.24%
　　大华建设　0.49　6.52%
　　搜房网　72.51　5.03%
　　蓝汛　23.34　5.23%
　　高德软件　17.4　5.45%
　　麦考林　7.18　-4.14%
　　优酷网　30.48　0.93%
　　当当网　24.89　-1.97%
　　博纳影业　6.26　-3.69%
　　斯凯　5.3　-0.75%
　　软通动力　17.56　2.34%

