中国概念股周一多数下跌 巨人网络逆势涨8%
　　新浪科技讯 北京时间7月26日凌晨消息 美股周一低收，但已从盘中低点反弹，奥巴马总统周末与国会共和党之间的谈判破裂，未能就提高美国债务上限达成协议，引发人们对美国信用评级将遭下调的恐惧，但投资者仍认为各方最终将达成协议。中国概念股多数下跌，展讯通信、侨兴移动、锐迪科微电子、CRIC、软通动力等5只股票跌幅超5%。巨人则逆势涨8.33%报7.93美元。
　　跌幅超5%的股票具体详情为：展讯通信跌6.07%报14.23美元、侨兴移动跌5.48%报1.38美元、锐迪科微电子跌6.67%报8.40美元、CRIC跌 5.88%报6.56美元、软通动力跌5.21%报13.45美元。
　　另外，畅游涨7.05%报49.20美元，创下52周新高；百度涨1.65%报156.54美元，创52周新高。
　　截至收盘，道琼斯工业平均指数下跌了88.36点，收报12592.80点，跌幅为0.70%。纳斯达克综合指数下跌了16.03点，收报2842.80点，跌幅为0.56%；标准普尔500指数下跌了7.59点，收报1337.43点，跌幅为0.56%。
　　股票　最新价　涨跌幅
　　新浪　113.18　-0.91%
　　CRIC　6.56　-5.88%
　　网易　49.84　0.83%
　　搜狐　85.2　1.26%
　　百度　156.54　1.65%
　　分众传媒　32.64　-1.09%
　　盛大　37.34　0.81%
　　盛大游戏　6.32　-2.02%
　　巨人网络　7.93　8.33%
　　畅游　49.2　7.05%
　　第九城市　5.85　-1.00%
　　完美世界　20.18　0.80%
　　携程网　45.59　1.81%
　　金融界　3.34　0.00%
　　艺龙　23.88　-1.08%
　　前程无忧　68.22　1.99%
　　掌上灵通　1　-1.06%
　　空中网　5.26　0.19%
　　酷6传媒　3.09　-3.74%
　　易居中国　8.06　-3.36%
　　华视传媒　2.81　-3.10%
　　航美传媒　3.21　-3.02%
　　永新视博　5.1　-0.97%
　　UT斯达康　1.4　-2.78%
　　展讯通信　14.23　-6.07%
　　亚信科技　15.4　-0.39%
　　中芯国际　3.15　-3.96%
　　中星微电子　1.69　-0.59%
　　炬力　2.11　0.00%
　　侨兴环球　1.38　-5.48%
　　泰克飞石　4.16　-2.12%
　　文思信息　20.72　-1.57%
　　诺亚舟　2.05　-0.48%
　　中华网　2.08　-0.48%
　　CDC软件　4.19　-4.12%
　　侨兴移动　2.08　-1.47%
　　国人通信　2.02　-4.26%
　　联游网络　0.99　2.75%
　　BCD半导体　6.75　-0.76%
　　搜房网　21.59　-0.46%
　　蓝汛　8.18　-2.73%
　　高德软件　16.2　0.49%
　　麦考林　3.4　-2.02%
　　优酷网　33.1　-2.93%
　　当当网　11.22　0.18%
　　斯凯　8.17　-2.74%
　　软通动力　13.45　-5.21%
　　创博国际　2.82　7.22%
　　海辉软件　14.51　0.42%
　　奇虎360　23.14　-1.78%
　　世纪互联　13.62　-0.51%
　　人人公司　10.02　-1.38%
　　网秦　6.93　1.91%
　　世纪佳缘　14.13　1.95%
　　凤凰新媒体　10.7　3.38%
　　淘米　14.82　0.68%

