中国47家企业入选金融时报500强
　　新浪科技讯 北京时间5月31日下午消息，英国《金融时报》公布的2009年全球500强企业榜单显示，中国共有47家上榜，其中中国石油、中国工商银行和中国移动分列第2、4、5位，进入前十。
　　中国47家上榜，其中中国大陆27家，中国香港16家，中国台湾4家，总市值1.897万亿美元。
　　中国上榜企业排名情况
　　排名 企业
　　2 中国石油
　　4 中国工商银行
　　5 中国移动(香港)
　　13 中国建设银行
　　21 中国银行
　　24 中国石化
　　31 中国人寿保险
　　59 中国神华能源
　　80 中国海洋石油(香港)
　　87 平安保险
　　94 交通银行
　　99 台积电(台湾)
　　122 中国招商银行
　　165 中国联通(香港)
　　174 中信证券
　　190 中信银行
　　194 新鸿基地产集团(香港)
　　218 和记黄埔(香港)
　　237 长江实业(香港)
　　243 紫金矿业
　　246 恒生银行(香港)
　　264 台塑石化(台湾)
　　269 上海浦发银行
　　280 中华电信(台湾)
　　289 中国铁道建筑总公司
　　292 兴业银行
　　293 中国铝业公司
　　294 鸿海精密集团(台湾)
　　298 中电控股(香港)
　　309 中国中铁股份有限公司
　　314 贵州茅台
　　337 中远集团
　　340 宝钢集团
　　343 中国中煤能源股份有限公司
　　350 民生银行
　　367 香港地下铁路公司(香港)
　　375 腾讯控股(香港)
　　383 万科集团
　　393 中国海外发展有限公司(香港)
　　396 Hong Kong Electric(香港)
　　405 华能国际
　　427 上海电气集团
　　441 怡和洋行(香港)
　　462 中国银行(香港)
　　472 大唐发电
　　477 香港中华煤气有限公司(香港)
　　500 香港期货交易所(香港)


