中国概念股周五多数上涨 百度涨3%创52周新高
　　新浪科技讯 北京时间2月12日凌晨消息，周五美国股市收于两年半新高，大盘实现周线两连阳。埃及总统穆巴拉克辞职的消息提升了市场情绪。中国概念股多数上涨， 百度涨3.01%报129.58美元，创52周新高；中芯国际大涨11.61%报4.71美元，其它个股涨幅均不大。
　　另外，携程涨3.89%报42.97美元；网易跌3.37%报于43.85美元；畅游跌3.41%报36.84美元。
　　美东时间2月11日16:00(北京时间2月12日05:00)，道琼斯工业平均指数上涨43.97点，收于12,273.26点，涨幅0.36%；纳斯达克综合指数上涨18.99点，收于2,809.44点，涨幅0.68%；标准普尔500指数上涨7.28点，收于1,329.15点，涨幅0.55%。
　　道指创2008年6月以来新高。纳指创2007年以来新高，标普500指数创2年半以来新高。本周美股实现周线两连阳。本周至今道指已经上涨1.4%，标普500指数上涨了1.3%，纳指上涨了1.3%。
　　股票　最新价　涨跌幅
　　新浪　93.16　-1.07%
　　CRIC　7.05　-1.40%
　　网易　43.85　-3.37%
　　搜狐　88.88　-1.16%
　　百度　129.58　3.01%
　　分众传媒　25.69　2.55%
　　盛大　44.75　-0.56%
　　盛大游戏　5.95　2.23%
　　巨人网络　7　0.00%
　　畅游　36.84　-3.41%
　　第九城市　7.86　-1.75%
　　完美时空　21.39　-1.29%
　　携程网　42.97　3.89%
　　金融界　5.64　-0.27%
　　艺龙　14.25　0.28%
　　前程无忧　57.83　2.68%
　　掌上灵通　1.49　1.36%
　　空中网　7.03　0.43%
　　酷6传媒　3.69　-1.07%
　　易居中国　13.99　-2.51%
　　如家快捷　33.87　2.23%
　　7天连锁　18.12　-0.55%
　　新东方　94.87　0.91%
　　正保远程教育　4.41　0.23%
　　华视传媒　4.51　-4.25%
　　航美传媒　7.18　1.13%
　　新华悦动传媒　1.28　-5.19%
　　永新视博　6.84　0.74%
　　UT斯达康　2.35　3.07%
　　展讯通信　23.94　0.50%
　　亚信科技　21.08　0.52%
　　中芯国际　4.71　11.61%
　　中星微电子　3.16　-0.32%
　　炬力　2.37　-0.42%
　　侨兴环球　2.52　-1.18%
　　德信无线　4.2　0.00%
　　无锡尚德　8.91　2.41%
　　文思信息　34.5　-1.48%
　　诺亚舟　1.96　-0.51%
　　中华网　3.13　0.97%
　　CDC软件　6.66　0.60%
　　侨兴移动　4.64　-0.85%
　　国人通信　3.16　-0.94%
　　汉庭连锁酒店　17.87　3.35%
　　大华建设　1.32　-0.75%
　　搜房网　76.61　0.14%
　　蓝汛　17.14　-2.00%
　　高德软件　16　-0.12%
　　麦考林　5.45　-4.55%
　　优酷网　29.55　-0.71%
　　当当网　25.4　-2.89%
　　博纳影业　7.4　0.95%
　　斯凯　9.17　-0.22%
　　软通动力　20　0.30%

