美股攀升中国概念股周四几乎全线上涨
　　新浪科技讯 北京时间11月14日早间消息，因投资者低价购入股票，美股周四结束了连续三个交易日下跌的势头。受此影响，中国概念股周四几乎全线上涨。
　　截至美东时间15:40(北京时间4:40)，道琼斯工业平均指数上涨了430.65点，至8713.31点，涨幅为5.20%。标准普尔500指数上涨了46.80点，至899.10点，涨幅为5.49%。纳斯达克综合指数上涨了66.23点，至1565.44点，涨幅为4.42%。
　　受此影响，中国概念股周四几乎全线上涨。其中涨幅照过10%的股票有搜狐(12.840%)、易居中国(11.260%)、 航美传媒(17.050%)、UT斯达康(15.850%)、亚信(14.000%)、中芯国际(23.080%)、侨兴环球(12.780%)、无锡尚德(15.570%)、CDC(13.950%)等。
　　股票名称 最新价 涨跌幅
　　新浪 27.450 5.540% 
　　网易 19.930 0.810% 
　　搜狐 46.230 12.840% 
　　百度 189.870 3.760% 
　　分众传媒 8.090 1.130% 
　　盛大网络 25.410 9.240% 
　　巨人网络 6.000 0.330% 
　　第九城市 12.620 4.820% 
　　完美时空 17.170 0.060% 
　　携程网 25.040 6.280% 
　　金融界 8.080 -0.120% 
　　艺龙 7.130 0.850% 
　　前程无忧 6.320 -1.860% 
　　灵通网 0.830 -2.350% 
　　空中网 3.030 7.070% 
　　华友世纪 1.570 -1.260% 
　　易居中国 5.140 11.260% 
　　如家快捷 8.720 6.600% 
　　新东方 54.710 2.400% 
　　正保远程教育 3.900 1.560% 
　　华视传媒 5.170 -1.340% 
　　航美传媒 5.150 17.050% 
　　新华财经传媒 1.020 7.120% 
　　永新视博 5.550 8.400% 
　　UT斯达康 1.900 15.850% 
　　展讯通信 0.870 -10.310% 
　　亚信 11.560 14.000% 
　　中芯国际 1.280 23.080% 
　　中星微 2.000 -2.440% 
　　珠海炬力 1.690 4.320% 
　　侨兴环球 2.030 12.780% 
　　德信无线 0.850 4.940% 
　　无锡尚德 11.800 15.570% 
　　文思信息 6.750 -3.980% 
　　诺亚舟 2.120 0.470% 
　　CDC 0.980 13.950% 


