中国互联网公司周一涨跌互现
　　新浪科技讯 北京时间11月3日早间消息，因经济数据远好于预期，美股周一小幅上扬，十月份供应管理协会制造业指数上升至55.7，好于53.0的市场预期。中国互联网公司周一涨跌互现。
　　截至收盘，道琼斯工业平均指数上涨了76.71点，至9789.44点，涨幅为0.79%；纳斯达克综合指数上涨了4.09点，至2049.20点，涨幅为0.20%；标准普尔500指数上涨了6.69点，至1042.88点，涨幅为0.65%。中国互联网公司涨跌互现，其中，侨兴移动大涨25.9%。
　　股票名称	股票代码	最新价	涨跌幅
　　新浪	SINA	38.65	3.37%
　　CRIC	CRIC	11.76	-7.47%
　　网易	NTES	37.69	-2.41%
　　搜狐	SOHU	54.07	-2.75%
　　百度	BIDU	376	-0.51%
　　分众传媒	FMCN	12.32	2.33%
　　盛大	SNDA	45.2	3.48%
　　盛大游戏	GAME	10.27	3.11%
　　巨人网络	GA	7.26	-0.68%
　　畅游	CYOU	30.35	0.73%
　　第九城市	NCTY	7.82	4.27%
　　完美时空	PWRD	43.24	-1.75%
　　携程网	CTRP	54.56	1.91%
　　金融界	JRJC	8.1	0.87%
　　艺龙	LONG	11.9	-3.64%
　　前程无忧	JOBS	15.34	2.95%
　　掌上灵通	LTON	2.05	-1.91%
　　空中网	KONG	14.88	11.04%
　　华友世纪	HRAY	6.04	-0.66%
　　易居中国	EJ	17.7	3.45%
　　如家快捷	HMIN	27.5	3.46%
　　新东方	EDU	67.81	-2.91%
　　正保远程教育	DL	7.08	1.14%
　　华视传媒	VISN	8.42	0.72%
　　航美传媒	AMCN	8.04	-2.78%
　　新华悦动传媒	XSEL	1.16	-1.69%
　　永新视博	STV	6.71	-1.32%
　　UT斯达康	UTSI	1.73	-4.42%
　　展讯通信	SPRD	5.48	-4.20%
　　亚信科技	ASIA	22.49	1.95%
　　中芯国际	SMI	2.48	2.48%
　　中星微电子	VIMC	3.5	-2.23%
　　炬力	ACTS	2.45	1.24%
　　侨兴环球	XING	2.03	8.56%
　　德信无线	CNTF	3.05	-0.65%
　　无锡尚德	STP	12.31	-2.84%
　　文思信息	VIT	15.04	-0.40%
　　诺亚舟	NED	4.77	-0.41%
　　中华网	CHINA	2.35	0.86%
　　CDC软件	CDCS	9.2	-5.54%
　　侨兴移动	QXM	3.79	24.26%
　　国人通信	GRRF	4.2	4.74%

