中国概念股周二涨跌互现
　　新浪科技讯 北京时间5月13日凌晨消息，主要股指周二收盘涨跌互见，但均已远离盘中低点，投资者在等待将于周三公布的零售商数据。中国概念股在纳斯达克涨跌互现。
　　截至收盘，道琼斯工业平均指数上涨了50.34点，至8469.11点，涨幅为0.60%；纳斯达克综合指数下跌了15.32点，至1715.92点，跌幅为0.88%，标准普尔500指数下跌了0.89点，至908.35点，跌幅为0.10%。
　　中国概念股周二涨跌互现，其中，携程网一季财报业绩促其股价今日大涨14.20%，报收于37.47美元；华友世纪受传言盛大有竞购意向，以及独立财团发公开信鼓动华友股东撤换董事两个因素影响，股价大涨30.45%，报收于2.87美元。另外，灵通网、新华悦动传媒和展讯通信三公司股票跌幅超10%，分别下跌10.81%、11.22%和12.70%。
　　股票 股价 涨跌幅
　　新浪 26.860 -2.360%
　　网易 31.180 0.710%
　　搜狐 53.980 -2.420%
　　百度 241.180 0.680%
　　分众传媒 7.440 -1.590%
　　盛大 51.410 4.110%
　　巨人网络 8.340 1.210%
　　畅游 29.540 -0.870%
　　第九城市 9.350 -1.160%
　　完美时空 18.710 -1.010%
　　携程网 37.470 14.200%
　　金融界 12.590 -1.180%
　　艺龙 6.860 5.540%
　　前程无忧 8.950 -2.080%
　　掌上灵通 1.650 -10.810%
　　空中网 7.250 2.690%
　　华友世纪 2.870 30.450%
　　易居中国 12.540 -1.880%
　　如家快捷 15.100 7.400%
　　新东方 53.490 0.360%
　　正保远程教育 4.980 -3.300%
　　华视传媒 5.360 0.000%
　　航美传媒 6.180 -1.750%
　　新华悦动传媒 0.870 -11.220%
　　永新视博 10.580 3.020%
　　UT斯达康 1.680 1.200%
　　展讯通信 1.650 -12.700%
　　亚信科技 17.050 -3.780%
　　中芯国际 2.150 1.420%
　　中星微电子 1.780 -0.440%
　　炬力 2.060 1.480%
　　侨兴环球 2.040 2.000%
　　德信无线 1.650 -2.430%
　　无锡尚德 16.450 0.060%
　　诺亚舟 3.280 0.000%
　　中华网 1.330 -9.530%


