中国概念股周三多数下跌 百度大涨10.83%
　　新浪科技讯 北京时间周四凌晨消息 美股周三小幅下跌，美联储主席伯南克在证词中称将在近期提高贴现率，市场预期欧盟将于本周出台救助希腊的计划。中国互联网公司周三收盘多数下跌，不过部分公司逆势上扬，其中百度大涨10.83%。
　　截至收盘，道琼斯工业平均指数下跌了20.26点，至10038.38点，跌幅为0.20%；纳斯达克综合指数下跌了3.00点，至 2147.87点，跌 幅为0.14%；标准普尔500指数下跌了2.39点，至1068.13点，跌幅为0.22%。
　　中国互联网公司周三收盘多数下跌，不过部分公司逆势上扬，其中百度大涨10.83%。
　　股票名称	最新价		涨跌幅
　　新浪		36.01		-0.22%
　　CRIC		9.54		8.90%
　　网易		33.97		-0.59%
　　搜狐		48.04		-0.64%
　　百度		482.13		10.83%
　　分众传媒	13.5		0.52%
　　盛大		47.34		-0.88%
　　盛大游戏	8.78		-0.79%
　　巨人网络	7.3		-0.68%
　　畅游		33.15		-0.63%
　　第九城市	6.51		-2.11%
　　完美时空	38.09		-1.63%
　　携程网		32.85		4.52%
　　金融界		7.13		-1.25%
　　艺龙		9.53		-1.75%
　　前程无忧	15.7		0.64%
　　掌上灵通	1.72		-1.71%
　　空中网		8.26		-0.24%
　　华友世纪	2.34		-6.02%
　　易居中国	17.04		1.37%
　　如家快捷	29.49		2.50%
　　7天连锁		12.2		-1.13%
　　新东方		68.29		2.43%
　　正保远程教育	6.19		3.51%
　　华视传媒	8.35		0.00%
　　航美传媒	7.73		-1.40%
　　新华悦动传媒	0.69		-3.04%
　　永新视博	6.36		3.08%
　　UT斯达康	1.91		-2.05%
　　展讯通信	6.66		4.23%
　　亚信科技	24.31		0.21%
　　中芯国际	4.01		-6.53%
　　中星微电子	4.36		0.23%
　　炬力		2.26		-0.44%
　　侨兴环球	1.75		-0.57%
　　德信无线	2.92		-1.35%
　　无锡尚德	13.28		2.08%
　　文思信息	16.29		-1.45%
　　诺亚舟		3.97		-0.75%
　　中华网		2.21		-1.78%
　　CDC软件		9.61		-0.93%
　　侨兴移动	2.54		1.20%
　　国人通信	3.16		-1.86%

