受美股大跌影响中国概念股多数下跌
　　新浪科技讯 北京时间3月3日凌晨消息消息，随投资者对于金融公司与经济衰退感到绝望，道指创自1997年4月来新低。标准普尔500指数也逼近700点大关。
　　股市的下滑促使投资者买进相对安全的国债。10年期国债收益率下降至2.88%。
　　美国国际集团(AIG)上一季度亏损617亿美元，创美国公司历史上最大季度亏损纪录，投资者对美国金融系统与美国经济再生忧虑。
　　受大盘影响，中国概念股周一普遍大跌。跌幅最大的有：完美时空跌22%；艺龙跌17.48%；UT斯达康跌17.82%；搜狐跌10.57%；侨兴环球跌12.30%。
　　股票名称 最新价  涨跌幅
　　新浪 20.240  -5.730%
　　网易 20.450  -0.150%
　　搜狐 44.180  -10.570%
　　百度 137.220  -7.480%
　　分众传媒 6.360  -8.490%
　　盛大 30.760  -6.280%
　　巨人网络 6.290  -1.720%
　　第九城市 10.790  -7.540%
　　完美时空 8.910  -22.520%
　　携程网 19.120  -4.400%
　　金融界 8.070  -7.980%
　　艺龙 4.250  -17.480%
　　前程无忧 6.670  -7.750%
　　掌上灵通 1.200   2.560%
　　空中网 5.060   0.600%
　　华友世纪 1.300   0.780%
　　易居中国 6.310   0.000%
　　如家快捷 7.780  -0.510%
　　新东方 41.500  -7.300%
　　正保远程教育 4.630  -4.140%
　　华视传媒 5.920  -2.310%
　　航美传媒 3.960  -0.750%
　　新华财经传媒 0.440   0.000%
　　永新视博 6.240  -6.450%
　　UT斯达康 0.830  -17.820%
　　展讯通信 0.880   0.000%
　　亚信科技 11.400  -6.630%
　　中芯国际 1.570  -8.190%
　　中星微电子 1.850  -2.630%
　　炬力 1.400   0.000%
　　侨兴环球 1.070  -12.300%
　　德信无线 1.390  -2.790%
　　无锡尚德 5.210  -14.450%
　　文思信息 4.510  -2.380%
　　诺亚舟 2.950  -3.280%
　　中华网 0.760  -3.180%


