中国互联网公司周三股价涨跌互现
　　新浪科技讯 北京时间12月17日凌晨消息，美元的疲软使美股在上午一度上涨，在美联储发表货币政策声明后美股开始回落，主要股指收盘时涨跌互见。受此影响，中国互联网公司周三股价也涨跌互现。
　　截至收盘，道琼斯工业平均指数下跌了10.88点，至10441.12点，跌幅为0.10%；纳斯达克综合指数上涨了5.86点，至2206.91点，涨幅为0.27%；标准普尔500指数上涨了1.25点，至1109.18点，涨幅为0.11%。
　　股票名称		最新价		涨跌幅
　　新浪		46		-0.45%
　　CRIC		11.2		0.99%
　　网易		37.63		1.65%
　　搜狐		55.57		1.94%
　　百度		426.26		0.53%
　　分众传媒		17.38		2.24%
　　盛大		52.25		-0.48%
　　盛大游戏		10.45		2.15%
　　巨人网络		7.36		-0.67%
　　畅游		33.6		3.70%
　　第九城市		6.98		-1.41%
　　完美时空		41.79		-2.99%
　　携程网		77.37		4.43%
　　金融界		7.96		1.21%
　　艺龙		11.57		0.43%
　　前程无忧		17.82		-2.09%
　　掌上灵通		1.79		0.56%
　　空中网		11.37		0.62%
　　华友世纪		4.06		-7.66%
　　易居中国		19.11		-4.02%
　　如家快捷		37.12		0.16%
　　7天酒店		12.07		-3.36%
　　新东方		76.95		0.56%
　　正保远程教育		6.25		-2.65%
　　华视传媒		11.65		-2.10%
　　航美传媒		8.59		-1.38%
　　新华悦动传媒		1.03		-2.83%
　　永新视博		5.94		0.17%
　　UT斯达康		2.06		8.42%
　　展讯通信		5.44		0.37%
　　亚信科技		30.95		-0.13%
　　中芯国际		3.05		-1.93%
　　中星微电子		4.56		0.44%
　　炬力		2.39		0.84%
　　侨兴环球		2.1		-0.94%
　　德信无线		3.26		-1.21%
　　无锡尚德		17.78		-0.67%
　　文思信息		17.39		2.41%
　　诺亚舟		5.31		-0.75%
　　中华网		2.36		-0.84%
　　CDC软件		9.42		4.55%
　　侨兴移动		4.16		1.96%
　　国人通信		3.7		2.21%

