中国概念股周四涨跌互现 5只股票涨幅超5%
　　新浪科技讯 北京时间10月21日凌晨消息，周四美国股市收盘涨跌不一。纳斯达克综合指数下跌0.21%，中国概念股涨跌互现，5只股票涨幅超5%。其中，亚信涨8.23%，网秦涨6.94%，优酷涨6.16%，国人通信涨5.71%，凤凰新媒体涨5.43%。九城关贸跌5.93%，CRIC跌5.10%。
　　影响美股的主要消息有：传欧盟各国政府考虑部署1.3万亿美元的援助资金来解决欧元区主权债务危机，法国和德国则敦促各国官员在10月26日以前就危机计划达成一致。美国经济数据好坏不一。
　　美东时间10月20日16:00(北京时间10月21日04:00)，道琼斯工业平均指数上涨37.16点，收于11,541.78点，涨幅0.32%；纳斯达克综合指数下跌5.42点，收于2,598.62点，跌幅0.21%；标准普尔500指数上涨5.51点，收于1,215.39点，涨幅0.46%。(飞宇)
　　股票　最新价　涨跌幅
　　新浪　83.34　0.10%
　　CRIC　4.84　-5.10%
　　网易　44.63　0.00%
　　搜狐　55　-0.18%
　　百度　123.87　-1.87%
　　分众传媒　22.95　-0.86%
　　盛大　38.43　0.68%
　　盛大游戏　5.17　2.58%
　　巨人网络　3.52　1.15%
　　畅游　26.99　2.35%
　　第九城市　4.39　3.54%
　　完美世界　12.47　-0.32%
　　携程网　32.11　-0.34%
　　金融界　1.75　0.00%
　　艺龙　15　-1.32%
　　前程无忧　41.11　0.96%
　　掌上灵通　0.79　-3.66%
　　空中网　4.68　0.43%
　　酷6传媒　1.88　1.07%
　　易居中国　6.08　0.00%
　　华视传媒　1.76　-3.30%
　　航美传媒　2.37　-2.47%
　　UT斯达康　1.29　0.00%
　　展讯通信　22.42　2.42%
　　亚信科技　10.39　8.23%
　　中芯国际　2.53　-3.44%
　　中星微电子　1.49　0.68%
　　炬力　2.04　1.49%
　　侨兴环球　0.79　-2.48%
　　泰克飞石　2.14　-0.47%
　　文思信息　9.47　1.83%
　　诺亚舟　1.4　3.70%
　　侨兴移动　1.03　3.00%
　　国人通信　2.22　5.71%
　　联游网络　0.3　0.00%
　　BCD半导体　4.46　-4.09%
　　学而思　9.03　2.50%
　　学大教育　3.16　-1.56%
　　正保远程教育　2.45　0.00%
　　新东方　25.56　-3.77%
　　搜房网　11.32　-0.09%
　　蓝汛　4.75　-1.66%
　　高德软件　12.62　-3.00%
　　麦考林　1.6　-0.62%
　　优酷网　20.67　6.16%
　　当当网　5.59　1.08%
　　斯凯　3.83　-0.69%
　　软通动力　8.51　-0.35%
　　创博国际　2　0.00%
　　海辉软件　10.51　1.06%
　　奇虎360　17.95　2.34%
　　世纪互联　9.89　-1.40%
　　人人公司　5.73　1.24%
　　网秦　4.78　6.94%
　　世纪佳缘　8.47　-0.41%
　　凤凰新媒体　4.66　5.43%
　　淘米　5.88　1.91%
　　土豆网　15.95　-0.87%

