中国互联网公司股价周三涨跌互现
　　新浪科技讯 美股主要股指已连续第四天上涨。褐皮书报告显示美国大部分地区经济出现企稳或有所改善，经济衰退似乎已经结束，工业与金融股表现强劲。中国互联网公司股价周三呈现涨跌互现势头，其中艺龙上涨9.27%，展讯通信下跌3.70%。
　　截至收盘，道琼斯工业平均指数上涨了49.88点，至9547.22点，涨幅为0.53%；纳斯达克综合指数上涨了22.62点，至2060.39点，涨幅为1.11%；标准普尔500指数上涨了7.98点，至1033.37点，涨幅为0.78%。
　　股票名称	最新价		涨跌幅
　　新浪		33.13		2.41%
　　网易		44.95		1.63%
　　搜狐		64.92		2.22%
　　百度		363.28		1.72%
　　分众传媒	9.77		1.56%
　　盛大		47.92		-0.06%
　　巨人网络	7.6		-1.43%
　　畅游		40.52		-1.52%
　　第九城市	7.81		-0.13%
　　完美时空	43.21		2.78%
　　携程网		56.31		4.16%
　　金融界		9.53		-1.04%
　　艺龙		8.49		9.27%
　　前程无忧	13.14		5.97%
　　掌上灵通	2.11		1.93%
　　空中网		13.25		-1.34%
　　华友世纪	3.83		-0.52%
　　易居中国	20.08		0.40%
　　如家快捷	28.88		1.48%
　　新东方		71.58		2.45%
　　正保远程教育	7.84		-0.13%
　　华视传媒	5.9		-1.01%
　　航美传媒	7.73		-2.15%
　　新华悦动传媒	1.55		1.97%
　　永新视博	7.69		0.52%
　　UT斯达康	2		-0.99%
　　展讯通信	3.38		-3.70%
　　亚信科技	18.05		0.22%
　　中芯国际	2.6		-1.52%
　　中星微电子	3.39		3.67%
　　炬力		2.33		2.19%
　　侨兴环球	1.9		1.06%
　　德信无线	2.93		2.81%
　　无锡尚德	15.74		-1.03%
　　文思信息	15.05		1.83%
　　诺亚舟		4.63		1.76%
　　中华网		2.34		0.43%
　　CDC软件		8.5		0.71%
　　侨兴移动	2.91		1.04%
　　国人通信	4.53		-1.52%

