周二中国概念股涨跌互现
　　新浪科技讯 北京时间3月4日消息，美股周二低收，标准普尔500指数自1996年10月来首次跌破700点大关，政府官员在国会的证词并没有提振投资者的信心。
　　美联储主席伯南克在参议院预算委员会表示近期数据显示宏观经济鲜有改善迹象，近几周就业形势可能进一步恶化。
　　一月份签约住房销量较前一月份下降了7.7%，降幅高于经济学家的下降3.5%的预期。
　　美联储、财政部与其它政府部门所采取的措施旨在恢复金融系统的稳定，但能否刺激经济复苏还有待观察。
　　截至收盘，道琼斯工业平均指数下跌了37.27点，报收6726.02点，跌幅为0.55%；标准普尔500指数下跌了4.49点，报收696.33点，跌幅为0.64%；纳斯达克综合指数下跌了1.84点，报收1321.01点，跌幅为0.14%。
    中国概念股涨跌互现，其中完美时空涨幅达10.89%。
　　股票名称 最新价  涨跌幅
　　新浪 19.200  -5.140%
　　网易 20.890   2.150%
　　搜狐 42.850  -3.010%
　　百度 144.590   5.370%
　　分众传媒 6.460   1.570%
　　盛大 31.150   1.270%
　　巨人网络 6.390   1.590%
　　第九城市 10.250  -5.000%
　　完美时空 9.880   10.890%
　　携程网 19.300   0.940%
　　金融界 7.610  -5.700%
　　艺龙 4.230  -0.470%
　　前程无忧 6.740   1.050%
　　掌上灵通 1.230   2.500%
　　空中网 4.910  -2.960%
　　华友世纪 1.290  -0.770%
　　易居中国 6.250  -0.950%
　　如家快捷 8.250   6.040%
　　新东方 42.520   2.460%
　　正保远程教育 4.940   6.800%
　　华视传媒 5.810  -1.860%
　　航美传媒 3.960   0.000%
　　新华财经传媒 0.440   0.000%
　　永新视博 6.220  -0.320%
　　UT斯达康 0.770  -7.230%
　　展讯通信 0.830  -5.680%
　　亚信科技 11.210  -1.670%
　　中芯国际 1.640   4.460%
　　中星微电子 1.850   0.000%
　　炬力 1.380  -1.430%
　　侨兴环球 1.010  -5.610%
　　德信无线 1.410   1.430%
　　无锡尚德 5.340   2.500%
　　文思信息 4.420  -2.000%
　　诺亚舟 2.960   0.340%
　　中华网 0.750  -1.320%


