美股周五大跌中国互联网公司全线下跌
　　新浪科技讯 北京时间10月2日凌晨消息，因制造业与就业市场最新数据令投资者对经济前景感到不安，美股在四季度第一个交易日大幅下跌，道指下跌了200余点。中国互联网公司几乎全线下跌，仅华友世纪和灵通网两公司股票微涨，其中，巨人网络大跌12.55%。
　　截至收盘，道琼斯工业平均指数下跌了203.00点，至9509.28点，跌幅为2.09%；纳斯达克综合指数下跌了64.94点，至2057.48点，跌幅为3.06%；标准普尔500指数下跌了27.23点，至1029.85点，跌幅为2.58%。
　　中国互联网公司几乎全线下跌，其中，巨人网络大跌12.55%，报6.62美元；另外，华友世纪和灵通网两公司股票逆市上扬，分别上涨6.67%和1.11%。
　　股票 股价 涨跌幅
　　新浪 36.43 -4.03%
　　网易 44.78 -1.97%
　　搜狐 65.72 -4.45%
　　百度 371.94 -4.89%
　　分众传媒 10.96 -0.72%
　　盛大 49.33 -3.65%
　　盛大游戏 11.23 -4.02%
　　巨人网络 6.62 -12.55%
　　畅游 32.95 -7.24%
　　第九城市 7.57 -2.32%
　　完美时空 46.32 -3.70%
　　携程网 56.27 -4.29%
　　金融界 8.55 -5.42%
　　艺龙 9.74 1.11%
　　前程无忧 13.68 -2.22%
　　掌上灵通 2.07 -1.90%
　　空中网 13.92 -2.79%
　　华友世纪 4 6.67%
　　易居中国 20.96 -1.87%
　　如家快捷 28.3 -5.19%
　　新东方 78.25 -2.73%
　　正保远程教育 7.01 -2.64%
　　华视传媒 7.52 -5.53%
　　航美传媒 7.23 -1.63%
　　新华悦动传媒 1.6 -8.05%
　　永新视博 6.96 -3.33%
　　UT斯达康 2.01 -3.83%
　　展讯通信 4.47 -2.19%
　　亚信科技 19.12 -4.26%
　　中芯国际 2.36 -2.48%
　　中星微电子 3.58 -1.65%
　　炬力 2.59 -3.00%
　　侨兴环球 2.01 -4.29%
　　德信无线 3.07 -7.53%
　　无锡尚德 14.2 -6.58%
　　文思信息 17.82 -8.33%
　　诺亚舟 4.98 -0.40%
　　中华网 2.47 -5.73%
　　CDC软件 9.19 -0.65%
　　侨兴移动 2.86 -1.04%
　　国人通信 4.39 -7.58%

